sample,streptomycin,isoniazid,rifampicin,ethambutol,pas,thioacetazone,moxifloxacin,ofloxacin,amikacin,kanamycin,capreomycin,isoniazid-lpa,rifampicin-lpa,ethambutol-lpa,ofloxacin-lpa,amikacin-lpa,kanamycin-lpa,capreomycin-lpa,moxifloxacin-lpa,ciprofloxacin-lpa,pyrazinamide,ethionamide
mada_101,S,S,S,S,S,R,,,,,,S,R,I,I,I,I,I,,,,
mada_102,S,S,S,S,S,R,,S,S,S,S,S,S,,,,,,,,,
mada_103,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_104,S,R,S,S,S,R,,S,S,S,S,R,S,,,,,,,,,
mada_105,S,R,S,S,S,R,,S,S,S,S,S,S,,,,,,,,,
mada_106,S,S,S,S,S,R,,,,,,R,S,I,I,I,I,I,,,,
mada_107,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_108,S,S,S,S,S,R,,N,N,N,N,I,I,,,,,,,,,
mada_109,S,S,S,S,S,R,,,,,,R,S,I,I,I,I,I,,,,
mada_110,S,S,S,S,S,R,,N,N,N,N,S,S,,,,,,,,,
mada_111,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_112,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_113,S,S,S,S,S,R,,N,N,N,N,S,S,,,,,,,,,
mada_114,S,S,S,S,S,R,,N,N,N,N,S,S,,,,,,,,,
mada_115,S,S,S,S,S,R,,N,N,N,N,I,I,,,,,,,,,
mada_116,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_117,S,S,S,S,S,R,,S,S,S,S,R,S,,,,,,,,,
mada_118,S,S,S,S,S,R,,S,S,S,S,,,,,,,,,,,
mada_119,S,S,S,S,S,R,,S,S,S,R,S,R,S,S,S,S,S,,,,
mada_120,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_121,S,R,S,S,S,R,,N,N,N,N,R,S,,,,,,,,,
mada_122,S,S,S,S,R,R,,S,S,S,S,R,S,,,,,,,,,
mada_123,S,S,S,S,S,R,,,,,,R,S,,,,,,,,,
mada_124,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_125,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_126,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_127,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_128,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_129,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_130,S,S,R,S,S,R,,S,S,S,S,R,S,,,,,,,,,
mada_131,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_132,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_133,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_134,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_135,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_136,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_137,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_138,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_139,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_140,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_141,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_142,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_143,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_144,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_145,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_146,S,S,S,S,S,R,,,,,,S,S,,,,,,,,,
mada_147,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_148,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_149,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_150,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_151,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_152,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_153,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_154,S,S,S,S,,,,,,,,S,S,,,,,,,,,
mada_1-1,S,R,R,S,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-2,S,R,R,S,R,R,,S,S,S,S,S,R,,,,,,,,,
mada_1-3,R,R,R,R,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-4,S,R,R,S,S,R,,S,S,S,S,R,R,S,I,S,S,S,,,,
mada_1-5,R,R,R,R,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-6,S,R,R,S,,,,S,S,S,S,S,R,,S,S,S,S,S,S,,
mada_1-7,S,R,R,R,R,R,,S,S,S,S,R,R,S,S,S,S,S,,,,
mada_1-8,S,R,R,S,S,R,,S,S,S,S,S,S,,,,,,,,,
mada_1-9,S,R,R,S,R,R,,R,S,R,S,I,I,,,,,,,,,
mada_1-10,R,R,R,R,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-11,S,R,R,S,S,R,,S,S,S,S,S,R,R,S,S,S,S,,,,
mada_1-12,S,R,R,S,S,R,,S,S,S,S,S,R,S,S,S,S,S,,,,
mada_1-13,S,R,R,S,S,R,,S,S,S,S,S,S,,,,,,,,,
mada_1-14,S,R,R,S,S,R,,S,S,S,S,I,I,,,,,,,,,
mada_1-15,R,R,R,S,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-16,S,R,R,S,,R,,S,S,S,S,R,R,,S,S,S,S,S,S,,
mada_1-17,S,R,R,S,S,R,,,,,,S,S,,,,,,,,,
mada_1-18,S,R,R,S,S,R,,S,S,S,S,S,R,,,,,,,,,
mada_1-19,S,R,R,S,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-20,S,R,R,S,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-21,S,R,R,S,R,R,,S,S,S,R,S,S,,,,,,,,,
mada_1-22,R,R,R,R,S,R,,S,S,S,S,S,R,,,,,,,,,
mada_1-23,R,R,R,R,R,R,,S,S,S,S,S,R,,,,,,,,,
mada_1-24,R,R,R,R,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-25,S,R,R,S,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-26,S,R,R,R,R,,,S,S,S,S,S,S,,,,,,,,,
mada_1-27,S,R,R,S,R,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-28,S,R,R,S,S,R,,S,S,S,S,R,R,S,S,S,S,S,,,,
mada_1-29,R,R,R,R,R,R,,S,S,S,S,I,I,,,,,,,,,
mada_1-30,R,R,R,R,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-31,S,R,R,S,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_2-1,S,R,R,S,,,,S,S,S,S,R,R,,S,S,S,S,S,S,,
mada_2-24,R,R,R,R,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_2-25,S,R,R,S,R,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-32,S,R,R,R,S,R,,S,S,S,S,S,R,S,S,S,S,S,,,,
mada_1-33,S,R,R,S,R,R,,,,,,S,S,,,,,,,,,
mada_1-34,R,R,R,R,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-35,S,R,R,S,S,R,,S,S,S,S,R,R,S,S,S,S,S,,,,
mada_1-36,S,R,R,S,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-37,S,R,R,S,,R,,S,S,S,S,R,S,,,,,,,,,
mada_1-38,S,R,R,,S,R,,S,S,S,S,R,R,,S,S,S,S,S,S,,
mada_1-39,S,R,R,R,R,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-40,S,R,R,R,S,R,,S,S,S,S,R,R,,I,I,I,I,,,,
mada_1-41,S,R,R,S,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-42,S,R,R,S,S,R,,S,S,S,S,S,R,,,,,,,,,
mada_1-43,R,R,R,S,S,R,,S,S,S,S,R,R,S,S,S,S,S,,,,
mada_1-44,R,R,R,R,S,R,,S,S,S,S,R,R,R,S,R,R,R,,,,
mada_1-45,R,R,R,R,S,R,,S,S,S,S,R,S,,,,,,,,,
mada_1-46,S,R,R,R,S,R,,S,S,S,S,S,R,R,S,S,S,S,,,,
mada_1-47,S,R,R,R,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_1-48,S,R,R,S,S,R,,S,S,S,S,R,R,S,S,S,S,S,,,,
mada_1-49,R,R,R,R,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_1-50,S,R,R,S,S,R,,S,S,S,S,R,R,S,S,S,S,S,,,,
mada_1-51,S,R,R,S,S,R,,S,S,S,S,R,S,,S,S,S,S,,,,
mada_1-52,S,R,R,S,S,R,,S,S,S,S,R,S,,,,,,,,,
mada_1-53,S,R,R,S,S,R,,S,S,S,S,R,S,,,,,,,,,
mada_1-54,S,R,R,S,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_2-31,S,R,R,R,S,R,,S,S,S,S,R,R,R,S,S,S,S,,,,
mada_2-34,S,R,R,R,S,R,,,,,,R,R,,,,,,,,,
mada_2-42,S,R,R,S,S,R,,S,S,S,S,S,R,,,,,,,,,
mada_2-46,S,R,R,S,,,,S,S,S,S,S,R,,S,S,S,S,S,S,,
mada_2-47,S,R,R,R,R,R,,S,S,S,S,R,R,,,,,,,,,
mada_2-50,S,R,R,S,S,R,,S,S,S,S,R,R,,,,,,,,,
mada_2-53,S,R,R,S,S,R,,S,S,S,S,R,S,,,,,,,,,
R13303,,S,,,,,,S,S,,,S,R,,,,,,,,,S
R15311,,S,,,,,,S,S,,,S,R,,,,,,,,,S
R16657,,,,,,,,S,R,,,R,R,,,,,,,,,S
R17830,,,,,,,,R,R,,,R,R,,,,,,,,,R
R18043,,,,,,,,S,R,,,R,R,,S,R,,,,,,R
R20260,,,,,,,,R,S,,,R,R,,,,,,,,,S
R20328,,,,,,,,S,S,,,R,R,,,,,,,,,S
R20412,,,,,,,,S,R,,,R,R,,,,,,,,,S
R20574,,,,,,,,S,S,,,R,R,,,,,,,,,S
R20896,,,,,,,,R,S,,,R,R,,,,,,,,,S
R20968,,S,,,,,,S,S,,,S,R,,,,,,,,,S
R20983,,S,,,,,,S,S,,,S,R,,,,,,,,,S
R21046,,,,,,,,S,S,,,R,R,,,,,,,,,S
R21363,,S,,,,,,S,S,,,S,R,,,,,,,,,S
R21408,,,,,,,,S,S,,,ND,ND,,,,,,,,,S
R21648,,,,,,,,S,S,,,R,R,,,,,,,,,S
R21770,,S,,,,,,S,S,,,S,R,,,,,,,,,S
R21839,,,,,,,,S,S,,,R,R,,,,,,,,,S
R21893,,,,,,,,R,S,,,R,R,,,,,,,,,R
R21911,,,,,,,,S,S,,,R,R,,,,,,,,,S
R22246,,S,,,,,,S,S,,,S,R,,,,,,,,,S
R22333,,,,,,,,S,S,,,R,R,,,,,,,,,S
R22393,,,,,,,,S,S,,,R,R,,,,,,,,,S
R22435,,,,,,,,S,S,,,R,R,,,,,,,,,S
R22601,,,,,,,,S,S,,,R,R,,,,,,,,,R
R22727,,,,,,,,S,S,,,R,R,,,,,,,,,ND
R23013,,,,,,,,S,R,,,R,R,,,,,,,,,R
R23144,,,,,,,,R,S,,,R,R,,,,,,,,,
R23146,,,,,,,,S,R,,,R,R,,,,,,,,,
R23399,,,,,,,,S,S,,,R,R,,,,,,,,,
R23571,,S,,,,,,S,S,,,S,R,,,,,,,,,
R23594,,,,,,,,R,R,,,R,R,,,,,,,,,
R23824,,,,,,,,S,S,,,R,R,,,,,,,,,
R23880,,,,,,,,R,S,,,R,S,,,,,,,,,
R23887,,R,,,,,,S,S,,,S,R,,,,,,,,,
R24100,,,,,,,,S,S,,,R,S,,,,,,,,,
R24120,,,,,,,,S,S,,,R,R,,,,,,,,,
R24409,,,,,,,,R,S,,,R,R,,,,,,,,,
R24644,,S,,,,,,S,S,,,S,R,,,,,,,,,
R25048,,,,,,,,S,S,,,R,R,,,,,,,,,
R25564,,,,,,,,S,S,,,R,R,,,,,,,,,
R26778,,,,,,,,S,R,,,R,R,,,,,,,,,
R26791,,,,,,,,,R,,,R,R,,,,,,,,,
R26792,,,,,,,,R,R,,,R,R,,,,,,,,,
R26840,,,,,,,,R,S,,,R,R,,,,,,,,,
R26984,,,,,,,,S,S,,,R,R,,,,,,,,,
R27006,,,,,,,,S,S,,,R,R,,,,,,,,,
R27252,,,,,,,,S,S,,,R,R,,,,,,,,,
R27273,,,,,,,,R,S,,,R,R,,,,,,,,,
R27725,,,,,,,,R,R,,,R,R,,,,,,,,,
R27937,,,,,,,,R,R,,,R,R,,,,,,,,,
R28012,,,,,,,,R,S,,,R,R,,,,,,,,,
R28182,,,,,,,,S,R,,,R,R,,S,R,,,,,,
R28195,,,,,,,,R,R,,,R,R,,,,,,,,,
R28538,,,,,,,,S,R,,,R,R,,,,,,,,,
R28581,,S,,,,,,S,S,,,S,R,,,,,,,,,
R28691,,,,,,,,S,S,,,R,R,,,,,,,,,
R28703,,,,,,,,S,R,,,R,R,,,,,,,,,
R28773,,S,,,,,,S,S,,,S,R,,,,,,,,,
R28980,,,,,,,,S,R,,,R,R,,,,,,,,,
R29577,,,,,,,,,,,,R,R,,,,,,,,,
R29598,,,,,,,,S,S,,,R,S,,,,,,,,,
R29669,,,,,,,,S,R,,,R,R,,,,,,,,,
R29816,,,,,,,,S,S,,,R,R,,,,,,,,,
R30021,,,,,,,,R,S,,,R,R,,,,,,,,,
R30042,,,,,,,,R,R,,,R,R,,,,,,,,,
R30078,,,,,,,,R,S,,,R,R,,,,,,,,,
R30215,,,,,,,,R,R,,,R,R,,,,,,,,,
R30234,,,,,,,,S,S,,,R,R,,,,,,,,,
R30396,,,,,,,,S,S,,,R,R,,,,,,,,,
R30420,,,,,,,,S,S,,,R,R,,,,,,,,,
R31095,,,,,,,,R,S,,,R,R,,,,,,,,,
R31095,,,,,,,,,,,,,,,,,,,,,,
R32258,,,,,,,,R,S,,,R,R,,,,,,,,,
R32273,,,,,,,,R,R,,,R,R,,,,,,,,,
