sample,nanopore_covg,site,illumina_covg,lineage
17_616026,89.54,birmingham,60.04,4
17_616156,99.22,birmingham,55.84,4
17_616166,14.59,birmingham,26.65,mixed
18_0621850,42.79,birmingham,60.01,mixed
18_0621851,85.23,birmingham,60.0,2
18_0621852,150.0,birmingham,60.01,mixed
18_0622034,26.49,birmingham,44.68,4
18_0622057,70.89,birmingham,29.85,4
18_0622158,51.69,birmingham,60.01,4
18_0622212,9.48,birmingham,16.28,mixed
18_0622217,132.51,birmingham,60.03,mixed
18_0622224,58.08,birmingham,60.0,1
18_0622267,71.65,birmingham,60.02,4
18_0622291,52.91,birmingham,60.0,1
18_0622293,23.31,birmingham,60.0,4
18_0622300,65.82,birmingham,49.14,1
18_0622302,60.55,birmingham,60.01,mixed
18_0622312,150.0,birmingham,60.01,4
18_0622317,23.27,birmingham,60.01,4
18_0622363,55.76,birmingham,60.01,3
18_0622365,40.92,birmingham,32.87,4
18_0622429,150.0,birmingham,60.01,mixed
18_0622431,150.0,birmingham,60.0,1
18_0622434,62.49,birmingham,60.0,1
18_0622441,132.6,birmingham,43.83,mixed
18_0622446,109.65,birmingham,48.49,4
18_0622455,73.8,birmingham,60.02,3
18_0622456,105.69,birmingham,60.07,4
18_0622465,133.95,birmingham,60.14,2
18_620602,23.76,birmingham,60.01,4
18_620606,66.44,birmingham,60.01,4
18_620650,41.27,birmingham,51.24,mixed
mada_1-1,96.44,madagascar,60.0,1
mada_1-10,150.0,madagascar,60.0,1
mada_1-11,150.0,madagascar,60.0,2
mada_1-12,113.04,madagascar,60.0,4
mada_1-13,86.66,madagascar,60.0,1
mada_1-14,70.34,madagascar,60.0,1
mada_1-15,126.07,madagascar,60.0,4
mada_1-16,60.66,madagascar,60.0,4
mada_1-17,76.17,madagascar,60.0,3
mada_1-18,60.39,madagascar,60.0,1
mada_1-19,33.18,madagascar,60.0,1
mada_1-2,71.84,madagascar,60.0,4
mada_1-20,77.08,madagascar,60.0,1
mada_1-21,31.68,madagascar,60.0,2
mada_1-22,150.0,madagascar,60.0,4
mada_1-23,0.59,madagascar,0.21,4
mada_1-24,18.05,madagascar,60.0,1
mada_1-25,59.21,madagascar,60.0,4
mada_1-26,2.09,madagascar,1.87,mixed
mada_1-28,67.06,madagascar,60.0,2
mada_1-29,0.43,madagascar,0.05,4
mada_1-3,150.0,madagascar,60.0,1
mada_1-30,115.84,madagascar,60.0,3
