run,amikacin,bedaquiline,bioproject,biosample,capreomycin,ciprofloxacin,clofazimine,cycloserine,delamanid,ethambutol,ethionamide,gatifloxacin,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifabutin,rifampicin,streptomycin,thioacetazone
ERR036186,,,PRJEB2358,SAMEA897802,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036187,,,PRJEB2358,SAMEA897777,,,,,,S,,,S,,,,,,,,,S,S,
ERR036188,,,PRJEB2358,SAMEA897778,,,,,,R,,,R,,,,,,,R,,S,R,
ERR036189,,,PRJEB2358,SAMEA897779,,,,,,S,,,S,,,,,,,,,S,S,
ERR036190,,,PRJEB2358,SAMEA897805,,,,,,S,,,S,,,,,,,,,S,S,
ERR036193,,,PRJEB2358,SAMEA897800,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036195,,,PRJEB2358,SAMEA897774,,,,,,S,,,S,,,,,,,,,S,R,
ERR036196,,,PRJEB2358,SAMEA897775,,,,,,S,,,S,,,,,,,,,S,S,
ERR036197,,,PRJEB2358,SAMEA897776,,,,,,S,,,S,,,,,,,,,S,S,
ERR036199,,,PRJEB2358,SAMEA897780,,,,,,S,,,S,,,,,,,,,S,S,
ERR036201,,,PRJEB2358,SAMEA897758,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036202,,,PRJEB2358,SAMEA897769,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036203,,,PRJEB2358,SAMEA897771,,,,,,S,,,R,,,,,,,,,S,S,
ERR036204,,,PRJEB2358,SAMEA897772,,,,,,S,,,S,,,,,,,,,S,S,
ERR036205,,,PRJEB2358,SAMEA897765,,,,,,S,,,S,,,,,,,,,S,S,
ERR036206,,,PRJEB2358,SAMEA897826,,,,,,S,,,S,,,,,,,,,S,S,
ERR036210,,,PRJEB2358,SAMEA897760,,,,,,S,,,S,,,,,,,,,S,S,
ERR036212,,,PRJEB2358,SAMEA897768,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036214,,,PRJEB2358,SAMEA897864,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036217,,,PRJEB2358,SAMEA897848,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036218,,,PRJEB2358,SAMEA897845,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036219,,,PRJEB2358,SAMEA897846,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036220,,,PRJEB2358,SAMEA897898,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036221,,,PRJEB2358,SAMEA897811,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036222,,,PRJEB2358,SAMEA897849,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036223,,,PRJEB2358,SAMEA897850,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036227,,,PRJEB2358,SAMEA897861,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036228,,,PRJEB2358,SAMEA897862,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036229,,,PRJEB2358,SAMEA897891,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036230,,,PRJEB2358,SAMEA897875,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036231,,,PRJEB2358,SAMEA897878,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036232,,,PRJEB2358,SAMEA897877,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036235,,,PRJEB2358,SAMEA897906,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036238,,,PRJEB2358,SAMEA897889,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036239,,,PRJEB2358,SAMEA897829,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036241,,,PRJEB2358,SAMEA897844,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036243,,,PRJEB2358,SAMEA897857,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036244,,,PRJEB2358,SAMEA897858,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036246,,,PRJEB2358,SAMEA897853,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036247,,,PRJEB2358,SAMEA897854,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036248,,,PRJEB2358,SAMEA897831,,,,,,S,,,S,,,,,,,S,,S,S,
ERR036249,,,PRJEB2358,SAMEA897839,,,,,,S,,,R,,,,,,,S,,S,R,
ERR037467,,,PRJEB2358,SAMEA897833,,,,,,,,,S,,,,,,,,,S,,
ERR037470,,,PRJEB2358,SAMEA897892,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037471,,,PRJEB2358,SAMEA897888,,,,,,,,,S,,,,,,,,,S,,
ERR037472,,,PRJEB2358,SAMEA897887,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037473,,,PRJEB2358,SAMEA897886,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037474,,,PRJEB2358,SAMEA897885,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037475,,,PRJEB2358,SAMEA897884,,,,,,S,,,R,,,,,,,S,,S,S,
ERR037477,,,PRJEB2358,SAMEA897882,,,,,,,,,S,,,,,,,S,,S,S,
ERR037478,,,PRJEB2358,SAMEA897881,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037479,,,PRJEB2358,SAMEA897893,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037481,,,PRJEB2358,SAMEA897828,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037482,,,PRJEB2358,SAMEA897894,,,,,,S,,,S,,,,,,,S,,S,R,
ERR037484,,,PRJEB2358,SAMEA897896,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037486,,,PRJEB2358,SAMEA897793,,,,,,S,,,R,,,,,,,R,,R,R,
ERR037487,,,PRJEB2358,SAMEA897899,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037488,,,PRJEB2358,SAMEA897900,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037489,,,PRJEB2358,SAMEA897901,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037490,,,PRJEB2358,SAMEA897840,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037491,,,PRJEB2358,SAMEA897795,,,,,,S,,,R,,,,,,,S,,S,S,
ERR037492,,,PRJEB2358,SAMEA897791,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037494,,,PRJEB2358,SAMEA897842,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037495,,,PRJEB2358,SAMEA897841,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037496,,,PRJEB2358,SAMEA897834,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037497,,,PRJEB2358,SAMEA897843,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037499,,,PRJEB2358,SAMEA897835,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037502,,,PRJEB2358,SAMEA897872,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037503,,,PRJEB2358,SAMEA897803,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037505,,,PRJEB2358,SAMEA897863,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037509,,,PRJEB2358,SAMEA897852,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037510,,,PRJEB2358,SAMEA897810,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037511,,,PRJEB2358,SAMEA897876,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037512,,,PRJEB2358,SAMEA897865,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037514,,,PRJEB2358,SAMEA897825,,,,,,,,,S,,,,,,,,,S,,
ERR037515,,,PRJEB2358,SAMEA897809,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037517,,,PRJEB2358,SAMEA897807,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037518,,,PRJEB2358,SAMEA897806,,,,,,S,,,R,,,,,,,S,,S,R,
ERR037519,,,PRJEB2358,SAMEA897799,,,,,,S,,,S,,,,,,,S,,S,S,
ERR037520,,,PRJEB2358,SAMEA897798,,,,,,S,,,S,,,,,,,S,,S,S,
