run,amikacin,bedaquiline,bioproject,biosample,capreomycin,clofazimine,delamanid,ethambutol,ethionamide,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifampicin,streptomycin,thioacetazone
ERR9030248,S,,PRJEB49093,SAMEA13188784,,,,,,,,,,,S,,,,,
ERR9030249,,,PRJEB49093,SAMEA13188702,,,,S,,S,,,,,,S,,S,S,R
ERR9030252,,,PRJEB49093,SAMEA13188661,,,,S,,S,,,,,,,,S,S,
ERR9030253,R,,PRJEB49093,SAMEA13188780,,,,,,,,,,,R,,,,,
ERR9030254,S,,PRJEB49093,SAMEA13188719,S,,,S,,S,S,,,,S,S,,S,S,R
ERR9030255,,,PRJEB49093,SAMEA13188670,,,,S,,S,,,,,,S,,S,S,R
ERR9030258,,,PRJEB49093,SAMEA13188689,,,,S,,S,,,,,,,,S,S,
ERR9030265,S,,PRJEB49093,SAMEA13188668,S,,,S,,R,S,,,,S,S,,R,S,R
ERR9030277,R,,PRJEB49093,SAMEA13188783,,,,,,,,,,,S,,,,,
ERR9030278,S,,PRJEB49093,SAMEA13188733,R,,,S,,R,S,,,,S,R,,R,S,R
ERR9030280,S,,PRJEB49093,SAMEA13188787,,,,,R,,,,,,S,,,,,
ERR9030283,S,,PRJEB49093,SAMEA13188777,,,,,S,,,,,,R,,,,,
ERR9030284,R,,PRJEB49093,SAMEA13188766,,,,,,,,,,,S,,,,,
ERR9030286,,,PRJEB49093,SAMEA13188665,,,,S,,S,,,,,,S,,S,S,R
ERR9030287,S,,PRJEB49093,SAMEA13188764,,,,,,,,,,,S,,,,,
ERR9030299,S,,PRJEB49093,SAMEA13188666,S,,,S,,R,S,,,,S,,,R,S,
ERR9030304,S,,PRJEB49093,SAMEA13188688,S,,,R,,R,S,,,,S,S,,R,R,R
ERR9030310,S,,PRJEB49093,SAMEA13188672,S,,,S,,R,S,,,,S,,,R,S,
ERR9030311,,,PRJEB49093,SAMEA13188745,,,,S,,S,,,,,,S,,S,S,R
ERR9030314,,,PRJEB49093,SAMEA13188739,,,,S,,R,,,,,,S,,R,S,R
ERR9030315,,,PRJEB49093,SAMEA13188700,,,,S,,S,,,,,,,,S,S,
ERR9030319,,,PRJEB49093,SAMEA13188713,,,,S,,S,,,,,,S,,S,S,R
