study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	fastq_ftp	sample_alias
PRJNA343956	SAMN05806769	SRX2245319	SRR4423135	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423135/SRR4423135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423135/SRR4423135_2.fastq.gz	ITM-080281
PRJNA343956	SAMN05806770	SRX2245320	SRR4423136	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423136/SRR4423136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423136/SRR4423136_2.fastq.gz	ITM-083113
PRJNA343956	SAMN05806771	SRX2245321	SRR4423137	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423137/SRR4423137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423137/SRR4423137_2.fastq.gz	ITM-083114
PRJNA343956	SAMN05806772	SRX2245322	SRR4423138	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423138/SRR4423138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423138/SRR4423138_2.fastq.gz	ITM-083135
PRJNA343956	SAMN05806773	SRX2245323	SRR4423139	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423139/SRR4423139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423139/SRR4423139_2.fastq.gz	ITM-083358
PRJNA343956	SAMN05806774	SRX2245324	SRR4423140	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423140/SRR4423140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423140/SRR4423140_2.fastq.gz	ITM-084048
PRJNA343956	SAMN05806775	SRX2245325	SRR4423141	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423141/SRR4423141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423141/SRR4423141_2.fastq.gz	ITM-084071
PRJNA343956	SAMN05806776	SRX2245326	SRR4423142	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4423142/SRR4423142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4423142/SRR4423142_2.fastq.gz	ITM-084090
PRJNA343956	SAMN05806777	SRX2245327	SRR4423143	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4423143/SRR4423143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4423143/SRR4423143_2.fastq.gz	ITM-090101
PRJNA343956	SAMN05806778	SRX2245328	SRR4423144	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423144/SRR4423144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423144/SRR4423144_2.fastq.gz	ITM-090497
PRJNA343956	SAMN05806749	SRX2245329	SRR4423145	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423145/SRR4423145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423145/SRR4423145_2.fastq.gz	ITM-110401
PRJNA343956	SAMN05806750	SRX2245330	SRR4423146	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423146/SRR4423146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423146/SRR4423146_2.fastq.gz	ITM-111346
PRJNA343956	SAMN05806755	SRX2245331	SRR4423147	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423147/SRR4423147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423147/SRR4423147_2.fastq.gz	ITM-120613
PRJNA343956	SAMN05806757	SRX2245332	SRR4423148	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423148/SRR4423148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423148/SRR4423148_2.fastq.gz	ITM-120869
PRJNA343956	SAMN05806753	SRX2245333	SRR4423149	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423149/SRR4423149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423149/SRR4423149_2.fastq.gz	ITM-111501
PRJNA343956	SAMN05806754	SRX2245334	SRR4423150	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423150/SRR4423150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423150/SRR4423150_2.fastq.gz	ITM-112382
PRJNA343956	SAMN05806758	SRX2245335	SRR4423151	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423151/SRR4423151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423151/SRR4423151_2.fastq.gz	ITM-121787
PRJNA343956	SAMN05806751	SRX2245336	SRR4423152	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4423152/SRR4423152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4423152/SRR4423152_2.fastq.gz	ITM-111354
PRJNA343956	SAMN05806752	SRX2245337	SRR4423153	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4423153/SRR4423153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4423153/SRR4423153_2.fastq.gz	ITM-111485
PRJNA343956	SAMN05806766	SRX2245338	SRR4423154	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423154/SRR4423154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423154/SRR4423154_2.fastq.gz	ITM-072228
PRJNA343956	SAMN05806765	SRX2245339	SRR4423155	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423155/SRR4423155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423155/SRR4423155_2.fastq.gz	ITM-072225
PRJNA343956	SAMN05806764	SRX2245340	SRR4423156	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423156/SRR4423156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423156/SRR4423156_2.fastq.gz	ITM-072214
PRJNA343956	SAMN05806763	SRX2245341	SRR4423157	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423157/SRR4423157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423157/SRR4423157_2.fastq.gz	ITM-062368
PRJNA343956	SAMN05806762	SRX2245342	SRR4423158	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423158/SRR4423158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423158/SRR4423158_2.fastq.gz	ITM-130244
PRJNA343956	SAMN05806761	SRX2245343	SRR4423159	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423159/SRR4423159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/009/SRR4423159/SRR4423159_2.fastq.gz	ITM-130235
PRJNA343956	SAMN05806760	SRX2245344	SRR4423160	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423160/SRR4423160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/000/SRR4423160/SRR4423160_2.fastq.gz	ITM-130223
PRJNA343956	SAMN05806759	SRX2245345	SRR4423161	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423161/SRR4423161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/001/SRR4423161/SRR4423161_2.fastq.gz	ITM-121808
PRJNA343956	SAMN05806768	SRX2245346	SRR4423162	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4423162/SRR4423162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/002/SRR4423162/SRR4423162_2.fastq.gz	ITM-073332
PRJNA343956	SAMN05806767	SRX2245347	SRR4423163	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4423163/SRR4423163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/003/SRR4423163/SRR4423163_2.fastq.gz	ITM-072861
PRJNA343956	SAMN05806784	SRX2245348	SRR4423164	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423164/SRR4423164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/004/SRR4423164/SRR4423164_2.fastq.gz	ITM-092032
PRJNA343956	SAMN05806783	SRX2245349	SRR4423165	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423165/SRR4423165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/005/SRR4423165/SRR4423165_2.fastq.gz	ITM-091980
PRJNA343956	SAMN05806785	SRX2245350	SRR4423166	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423166/SRR4423166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/006/SRR4423166/SRR4423166_2.fastq.gz	ITM-092333
PRJNA343956	SAMN05806780	SRX2245351	SRR4423167	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423167/SRR4423167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/007/SRR4423167/SRR4423167_2.fastq.gz	ITM-090798
PRJNA343956	SAMN05806779	SRX2245352	SRR4423168	1773	Mycobacterium tuberculosis	ILLUMINA	Illumina MiSeq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423168/SRR4423168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR442/008/SRR4423168/SRR4423168_2.fastq.gz	ITM-090523
