sample_alias,isoniazid
ITM-100271,R
ITM-100380,R
ITM-101140,R
ITM-101142,R
ITM-101661,R
ITM-101905,R
ITM-102106,R
ITM-102627,R
ITM-102808,R
ITM-110113,R
ITM-110401,R
ITM-111346,R
ITM-111354,R
ITM-111485,R
ITM-111501,R
ITM-112382,R
ITM-120613,R
ITM-120718,R
ITM-120869,R
ITM-121787,R
ITM-121808,R
ITM-130223,R
ITM-130235,R
ITM-130244,R
ITM-062368,R
ITM-072214,R
ITM-072225,R
ITM-072228,R
ITM-072861,R
ITM-073332,R
ITM-080281,R
ITM-083113,R
ITM-083114,R
ITM-083135,R
ITM-083358,R
ITM-084048,R
ITM-084071,R
ITM-084090,R
ITM-090101,R
ITM-090497,R
ITM-090523,R
ITM-090798,R
ITM-091126,R
ITM-091130,R
ITM-091980,R
ITM-092032,R
ITM-092333,R
