run,streptomycin,isoniazid,rifampicin,ethambutol,pyrazinamide,kanamycin,amikacin,capreomycin,ofloxacin,moxifloxacin,ethionamide,linezolid,para-aminosalicylic_acid,clofazimine,levofloxacin,delamanid,bedaquiline,bioproject,biosample
SRR23086706,R,R,R,R,R,R,R,R,,S,,,,,,,,PRJNA903660,SAMN32746379
SRR23086705,R,R,R,R,R,R,R,R,S,S,R,S,,,,,,PRJNA903660,SAMN32746380
SRR23086704,,R,R,R,R,S,S,S,,R,,,,,R,,,PRJNA903660,SAMN32746381
SRR23086727,,R,R,R,R,R,R,R,S,S,,,,,,,,PRJNA903660,SAMN32746382
SRR23086725,,R,R,R,R,R,R,R,S,S,,,,,,,,PRJNA903660,SAMN32746384
SRR23086726,,R,R,,,S,S,S,R,R,,,,,R,,,PRJNA903660,SAMN32746383
SRR23086729,,R,R,,,,,,,,,,,,R,,,PRJNA903660,SAMN32746372
SRR23086728,R,R,R,R,R,,,,,,,,,,R,,,PRJNA903660,SAMN32746373
SRR23086717,,R,R,,,,,,,,,,,,R,,,PRJNA903660,SAMN32746374
SRR23086710,,R,R,,,,,,R,R,,,,,,,,PRJNA903660,SAMN32746375
SRR23086709,,R,R,R,R,S,S,S,,R,,S,S,S,R,S,S,PRJNA903660,SAMN32746376
SRR23086708,,R,R,R,R,S,S,S,,,R,S,,S,R,S,S,PRJNA903660,SAMN32746377
SRR23086707,,R,R,R,R,S,S,S,R,R,R,S,,S,R,S,S,PRJNA903660,SAMN32746378
