ID,STR ,"INH 0,1",RIF ,EMB ,PZA ,"INH 0,4",KAN ,AMK ,CAP ,OFL ,"MOXI 0,25",ETH ,LZD ,PAS ,CFZ,CS,LEV,RFB,DLM,BDQ
IT318,R,R,R,R,R,,R,R,R,,S,,,,,,,,,
IT491,R,R,R,R,R,,R,R,R,S,S,R,S,,,,,,,
IT645,,R,R,R,R,,S,S,S,,R,,,,,,R,,,
IT650,,R,R,R,R,,R,R,R,S,S,,,,,,,,,
MGIT84,,R,R,R,R,,R,R,R,S,S,,,,,,,,,
IT696,,R,R,,,,S,S,S,R,R,,,,,,R,,,
IT1313,,R,R,,,,,,,,,,,,,,R,,,
IT1365,R,R,R,R,R,,,,,,,,,,,,R,,,
IT1428,,R,R,,,,,,,,,,,,,,R,,,
IT1508,,R,R,,,,,,,R,R,,,,,,,,,
IT1708,,R,R,R,R,,S,S,S,,R,,S,S,S,,R,,S,S
IT1745,,R,R,R,R,,S,S,S,,,R,S,,S,,R,,S,S
IT1748,,R,R,R,R,,S,S,S,R,R,R,S,,S,,R,,S,S
