run,bioproject,biosample,isoniazid,rifampicin,ethambutol,pyrazinamide,amikacin,capreomycin,kanamycin,moxifloxacin,levofloxacin
ERR7910843,PRJEB48275,SAMEA10029749,R,R,S,S,S,S,S,S,S
ERR7910844,PRJEB48275,SAMEA10029750,R,R,S,S,S,S,S,S,S
ERR7910845,PRJEB48275,SAMEA10029750,R,R,S,S,S,S,S,S,S
ERR7910846,PRJEB48275,SAMEA10029751,R,R,S,R,S,S,S,S,S
ERR7910982,PRJEB48275,SAMEA10029752,R,R,S,S,S,S,S,S,S
ERR7910847,PRJEB48275,SAMEA10029753,R,S,S,S,S,S,S,S,S
ERR7910848,PRJEB48275,SAMEA10029753,R,S,S,S,S,S,S,S,S
ERR7910983,PRJEB48275,SAMEA10029754,R,R,S,R,S,S,S,S,S
ERR7910849,PRJEB48275,SAMEA10029755,R,R,R,R,S,S,S,S,S
ERR7910850,PRJEB48275,SAMEA10029756,R,R,R,R,S,S,S,S,S
ERR7910851,PRJEB48275,SAMEA10029757,R,R,S,R,S,S,S,S,S
ERR7910852,PRJEB48275,SAMEA10029757,R,R,S,R,S,S,S,S,S
ERR7910853,PRJEB48275,SAMEA10029758,R,S,S,S,S,S,S,S,S
ERR7910984,PRJEB48275,SAMEA10029759,R,R,S,S,S,S,S,S,S
ERR7910985,PRJEB48275,SAMEA10029760,R,R,S,R,S,S,S,S,S
ERR7910854,PRJEB48275,SAMEA10029761,S,S,S,S,S,S,S,S,S
ERR7910986,PRJEB48275,SAMEA10029762,R,R,S,S,S,S,S,S,S
ERR7910987,PRJEB48275,SAMEA10029762,R,R,S,S,S,S,S,S,S
ERR7910855,PRJEB48275,SAMEA10029763,R,S,S,S,S,S,S,S,S
ERR7910988,PRJEB48275,SAMEA10029764,S,S,S,S,S,S,S,S,S
ERR7910856,PRJEB48275,SAMEA10029765,R,S,S,S,S,S,S,S,S
ERR7910857,PRJEB48275,SAMEA10029766,R,R,S,S,S,S,S,S,S
ERR7910858,PRJEB48275,SAMEA10029767,R,R,S,R,R,S,R,S,S
ERR7910989,PRJEB48275,SAMEA10029768,S,R,S,S,S,S,S,S,S
ERR7910859,PRJEB48275,SAMEA10029769,R,R,S,R,S,S,S,S,S
ERR7910860,PRJEB48275,SAMEA10029769,R,R,S,R,S,S,S,S,S
ERR7910861,PRJEB48275,SAMEA10029770,R,R,S,R,S,S,S,S,S
ERR7910862,PRJEB48275,SAMEA10029771,R,R,S,R,R,R,S,S,S
ERR7910863,PRJEB48275,SAMEA10029772,R,R,S,R,S,S,S,S,S
ERR7910990,PRJEB48275,SAMEA10029773,R,R,R,R,S,S,R,S,S
ERR7910991,PRJEB48275,SAMEA10029774,R,R,S,S,S,S,S,S,S
ERR7910864,PRJEB48275,SAMEA10029775,R,R,S,S,S,S,S,S,S
ERR7910865,PRJEB48275,SAMEA10029776,R,R,S,R,S,S,S,S,S
ERR7910992,PRJEB48275,SAMEA10029777,S,S,S,S,S,S,S,S,S
ERR7910866,PRJEB48275,SAMEA10029778,R,R,S,R,S,S,S,S,S
ERR7910993,PRJEB48275,SAMEA10029779,R,R,S,R,S,S,S,S,S
ERR7910994,PRJEB48275,SAMEA10029780,R,R,R,R,S,S,R,S,S
ERR7910867,PRJEB48275,SAMEA10029781,R,R,R,R,S,S,S,S,S
ERR7910868,PRJEB48275,SAMEA10029782,R,R,S,S,S,S,S,S,S
ERR7910995,PRJEB48275,SAMEA10029783,R,R,R,R,R,R,R,R,S
ERR7910869,PRJEB48275,SAMEA10029784,R,R,S,R,S,S,S,R,S
ERR7910870,PRJEB48275,SAMEA10029785,R,R,R,S,S,S,S,R,R
ERR7910871,PRJEB48275,SAMEA10029786,R,R,S,R,S,S,S,S,S
ERR7910872,PRJEB48275,SAMEA10029787,R,R,R,R,S,S,S,S,S
ERR7910873,PRJEB48275,SAMEA10029788,R,R,S,R,S,S,S,S,S
ERR7910874,PRJEB48275,SAMEA10029789,R,R,S,S,S,S,S,S,S
ERR7910996,PRJEB48275,SAMEA10029790,R,R,S,R,S,S,R,S,S
ERR7910997,PRJEB48275,SAMEA10029791,R,R,R,R,S,S,S,S,S
ERR7910875,PRJEB48275,SAMEA10029792,R,R,S,R,S,S,S,S,S
ERR7910876,PRJEB48275,SAMEA10029792,R,R,S,R,S,S,S,S,S
ERR7910877,PRJEB48275,SAMEA10029792,R,R,S,R,S,S,S,S,S
ERR7910878,PRJEB48275,SAMEA10029793,R,R,S,R,S,S,S,S,S
ERR7910998,PRJEB48275,SAMEA10029794,S,S,S,S,S,S,S,S,S
ERR7910879,PRJEB48275,SAMEA10029795,R,R,R,S,R,R,R,S,S
ERR7910999,PRJEB48275,SAMEA10029796,S,R,S,S,S,S,S,S,S
ERR7910880,PRJEB48275,SAMEA10029797,R,R,,R,S,S,S,S,S
ERR7910881,PRJEB48275,SAMEA10029798,R,R,R,R,S,S,S,S,S
ERR7910882,PRJEB48275,SAMEA10029799,R,R,S,R,S,S,S,S,S
ERR7910883,PRJEB48275,SAMEA10029800,R,R,S,R,S,S,S,S,S
ERR7910884,PRJEB48275,SAMEA10029801,R,R,S,R,S,S,S,S,S
ERR7910885,PRJEB48275,SAMEA10029802,R,R,S,S,S,S,S,S,S
ERR7911000,PRJEB48275,SAMEA10029803,R,R,R,R,R,R,R,S,S
ERR7910886,PRJEB48275,SAMEA10029804,R,S,S,S,S,S,S,S,S
ERR7910887,PRJEB48275,SAMEA10029805,R,R,S,S,S,S,S,S,S
ERR7910888,PRJEB48275,SAMEA10029806,R,R,S,S,S,S,S,S,S
ERR7911001,PRJEB48275,SAMEA10029807,S,S,S,S,S,S,S,S,S
