run,bioproject,biosample,amikacin,capreomycin,ciprofloxacin,ethambutol,ethionamide,isoniazid,kanamycin,levofloxacin,moxifloxacin,ofloxacin,para-aminosalicylic_acid,pyrazinamide,rifampicin,streptomycin
SRR7439415,PRJNA413593,SAMN09492287,,,,S,,S,,,,,,,S,S
SRR7131298,PRJNA438921,SAMN09090624,,,,,,,,,,,,,S,
SRR7131297,PRJNA438921,SAMN09090623,,,,,,,,,,,,,S,
SRR7131296,PRJNA438921,SAMN09090622,,,,,,,,,,,,,S,
SRR7131295,PRJNA438921,SAMN09090621,,,,,,,,,,,,,S,
SRR7131294,PRJNA438921,SAMN09090620,,,,,,,,,,,,,S,
SRR7131293,PRJNA438921,SAMN09090619,,,,,,,,,,,,,S,
SRR7131292,PRJNA438921,SAMN09090618,,,,,,,,,,,,,S,
SRR7131291,PRJNA438921,SAMN09090515,,,,,,,,,,,,,S,
SRR7131290,PRJNA438921,SAMN09090514,,,,,,,,,,,,,S,
SRR7131289,PRJNA438921,SAMN09090513,,,,,,,,,,,,,S,
SRR7131288,PRJNA438921,SAMN09090512,,,,,,,,,,,,,S,
SRR7131287,PRJNA438921,SAMN09090511,,,,,,,,,,,,,S,
SRR7131286,PRJNA438921,SAMN09090510,,,,,,,,,,,,,S,
SRR7131285,PRJNA438921,SAMN09090509,,,,,,,,,,,,,S,
SRR7131284,PRJNA438921,SAMN09090508,,,,,,,,,,,,,S,
SRR7131283,PRJNA438921,SAMN09090579,,,,,,,,,,,,,S,
SRR7131282,PRJNA438921,SAMN09090429,,,,,,,,,,,,,S,
SRR7131281,PRJNA438921,SAMN09090413,,,,,,,,,,,,,S,
SRR7131280,PRJNA438921,SAMN09090517,,,,,,,,,,,,,S,
SRR7131279,PRJNA438921,SAMN09090516,,,,,,,,,,,,,S,
SRR7131277,PRJNA438921,SAMN09090409,,,,,,,,,,,,,S,
SRR7131276,PRJNA438921,SAMN09090439,,,,,,,,,,,,,S,
SRR7131275,PRJNA438921,SAMN09090617,,,,,,,,,,,,,S,
SRR7131274,PRJNA438921,SAMN09090440,,,,,,,,,,,,,S,
SRR7131273,PRJNA438921,SAMN09090425,,,,,,,,,,,,,S,
SRR7131272,PRJNA438921,SAMN09090380,,,,,,,,,,,,,S,
SRR7131271,PRJNA438921,SAMN09090381,,,,,,,,,,,,,S,
SRR7131270,PRJNA438921,SAMN09090378,,,,,,,,,,,,,S,
SRR7131269,PRJNA438921,SAMN09090379,,,,,,,,,,,,,S,
SRR7131268,PRJNA438921,SAMN09090384,,,,,,,,,,,,,S,
SRR7131267,PRJNA438921,SAMN09090385,,,,,,,,,,,,,S,
SRR7131266,PRJNA438921,SAMN09090382,,,,,,,,,,,,,S,
SRR7131264,PRJNA438921,SAMN09090428,,,,,,,,,,,,,S,
SRR7131263,PRJNA438921,SAMN09090599,,,,,,,,,,,,,S,
SRR7131262,PRJNA438921,SAMN09090386,,,,,,,,,,,,,S,
SRR7131261,PRJNA438921,SAMN09090387,,,,,,,,,,,,,S,
SRR7131260,PRJNA438921,SAMN09090598,,,,,,,,,,,,,S,
SRR7131259,PRJNA438921,SAMN09090556,,,,,,,,,,,,,S,
SRR7131258,PRJNA438921,SAMN09090557,,,,,,,,,,,,,S,
SRR7131256,PRJNA438921,SAMN09090550,,,,,,,,,,,,,S,
SRR7131255,PRJNA438921,SAMN09090551,,,,,,,,,,,,,S,
SRR7131254,PRJNA438921,SAMN09090548,,,,,,,,,,,,,S,
SRR7131253,PRJNA438921,SAMN09090549,,,,,,,,,,,,,S,
SRR7131251,PRJNA438921,SAMN09090555,,,,,,,,,,,,,S,
SRR7131250,PRJNA438921,SAMN09090552,,,,,,,,,,,,,S,
SRR7131249,PRJNA438921,SAMN09090553,,,,,,,,,,,,,S,
SRR7131248,PRJNA438921,SAMN09090460,,,,,,,,,,,,,S,
SRR7131247,PRJNA438921,SAMN09090461,,,,,,,,,,,,,S,
SRR7131246,PRJNA438921,SAMN09090458,,,,,,,,,,,,,S,
SRR7131245,PRJNA438921,SAMN09090459,,,,,,,,,,,,,S,
SRR7131244,PRJNA438921,SAMN09090464,,,,,,,,,,,,,S,
SRR7131243,PRJNA438921,SAMN09090465,,,,,,,,,,,,,S,
SRR7131242,PRJNA438921,SAMN09090462,,,,,,,,,,,,,S,
SRR7131241,PRJNA438921,SAMN09090463,,,,,,,,,,,,,S,
SRR7131240,PRJNA438921,SAMN09090466,,,,,,,,,,,,,S,
SRR7131239,PRJNA438921,SAMN09090467,,,,,,,,,,,,,S,
SRR7131238,PRJNA438921,SAMN09090437,,,,,,,,,,,,,S,
