run,streptomycin,isoniazid,rifampicin,ethambutol,para-aminosalicylic_acid,thioacetazone,moxifloxacin,ofloxacin,amikacin,kanamycin,capreomycin,pyrazinamide,ethionamide,biosample,bioproject
ERR9030471,,S,,,,,,S,S,,,,S,SAMEA13188786,PRJEB49093
ERR9030394,,,,,,,,S,R,,,,R,SAMEA13188759,PRJEB49093
ERR9030283,,,,,,,,R,S,,,,S,SAMEA13188777,PRJEB49093
ERR9030530,,,,,,,,S,S,,,,S,SAMEA13188782,PRJEB49093
ERR9030378,,,,,,,,R,S,,,,S,SAMEA13188767,PRJEB49093
ERR9030389,,S,,,,,,S,S,,,,S,SAMEA13188788,PRJEB49093
ERR9030360,,S,,,,,,S,S,,,,S,SAMEA13188750,PRJEB49093
ERR9030440,,,,,,,,S,S,,,,S,SAMEA13188773,PRJEB49093
ERR9030350,,S,,,,,,S,S,,,,S,SAMEA13188776,PRJEB49093
ERR9030533,,,,,,,,S,S,,,,S,SAMEA13188765,PRJEB49093
ERR9030424,,,,,,,,R,S,,,,R,SAMEA13188771,PRJEB49093
ERR9030280,,,,,,,,S,S,,,,R,SAMEA13188787,PRJEB49093
ERR9030462,,,,,,,,S,R,,,,,SAMEA13188779,PRJEB49093
ERR9030465,,S,,,,,,S,S,,,,,SAMEA13188781,PRJEB49093
ERR9030485,,R,,,,,,S,S,,,,,SAMEA13188768,PRJEB49093
ERR9030468,,,,,,,,S,S,,,,,SAMEA13188757,PRJEB49093
ERR9030248,,,,,,,,S,S,,,,,SAMEA13188784,PRJEB49093
ERR9030431,,,,,,,,S,S,,,,,SAMEA13188778,PRJEB49093
ERR9030415,,,,,,,,S,R,,,,,SAMEA13188789,PRJEB49093
ERR9030414,,,,,,,,,R,,,,,SAMEA13188749,PRJEB49093
ERR9030426,,,,,,,,S,S,,,,,SAMEA13188753,PRJEB49093
ERR9030509,,,,,,,,R,R,,,,,SAMEA13188772,PRJEB49093
ERR9030489,,,,,,,,R,R,,,,,SAMEA13188761,PRJEB49093
ERR9030498,,,,,,,,R,S,,,,,SAMEA13188774,PRJEB49093
ERR9030284,,,,,,,,S,R,,,,,SAMEA13188766,PRJEB49093
ERR9030321,,S,,,,,,S,S,,,,,SAMEA13188785,PRJEB49093
ERR9030343,,,,,,,,S,R,,,,,SAMEA13188775,PRJEB49093
ERR9030277,,,,,,,,S,R,,,,,SAMEA13188783,PRJEB49093
ERR9030520,,,,,,,,S,S,,,,,SAMEA13188755,PRJEB49093
ERR9030346,,,,,,,,S,S,,,,,SAMEA13188754,PRJEB49093
ERR9030386,,,,,,,,R,S,,,,,SAMEA13188756,PRJEB49093
ERR9030506,,,,,,,,R,R,,,,,SAMEA13188770,PRJEB49093
ERR9030336,,,,,,,,S,S,,,,,SAMEA13188751,PRJEB49093
ERR9030408,,,,,,,,S,S,,,,,SAMEA13188762,PRJEB49093
ERR9030287,,,,,,,,S,S,,,,,SAMEA13188764,PRJEB49093
ERR9030488,,,,,,,,R,S,,,,,SAMEA13188758,PRJEB49093
ERR9030488,,,,,,,,,,,,,,SAMEA13188758,PRJEB49093
ERR9030253,,,,,,,,R,R,,,,,SAMEA13188780,PRJEB49093
ERR9030327,,S,S,S,S,,S,,S,S,S,S,R,SAMEA13188752,PRJEB49093
ERR9030454,,,,,,,,,,,,,,SAMEA13188769,PRJEB49093
ERR9030328,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188706,PRJEB49093
ERR9030475,R,R,R,R,S,R,,S,S,S,S,,,SAMEA13188726,PRJEB49093
ERR9030429,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188722,PRJEB49093
ERR9030376,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188693,PRJEB49093
ERR9030403,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188740,PRJEB49093
ERR9030365,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188734,PRJEB49093
ERR9030412,R,R,R,S,S,R,,S,S,S,S,,,SAMEA13188729,PRJEB49093
ERR9030522,S,R,R,S,,R,,S,S,S,S,,,SAMEA13188699,PRJEB49093
ERR9030314,S,R,R,S,S,R,,,,,,,,SAMEA13188739,PRJEB49093
ERR9030532,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188712,PRJEB49093
ERR9030478,S,R,R,S,S,R,,S,S,S,S,,,SAMEA13188725,PRJEB49093
