bioproject,biosample,run,bedaquiline,amikacin,ethambutol
PRJEB58017,SAMEA112188669,ERR10748075,S,R,R
PRJEB58017,SAMEA112188684,ERR10748090,S,S,R
PRJEB58017,SAMEA112188715,ERR10748121,R,R,R
PRJEB58017,SAMEA112188716,ERR10748122,S,R,S
PRJEB58017,SAMEA112188726,ERR10748132,R,R,
PRJEB58017,SAMEA112188727,ERR10748133,S,S,R
PRJEB58017,SAMEA112188740,ERR10748146,S,S,R
PRJEB58017,SAMEA112188762,ERR10748168,R,S,S
PRJEB58017,SAMEA112188763,ERR10748169,S,S,R
PRJEB58017,SAMEA112188764,ERR10748170,S,S,R
PRJEB58017,SAMEA112188765,ERR10748171,S,S,S
PRJEB58017,SAMEA112188768,ERR10748174,S,S,R
PRJEB58017,SAMEA112188770,ERR10748176,S,S,S
PRJEB58017,SAMEA112188771,ERR10748177,S,R,R
PRJEB58017,SAMEA112188772,ERR10748178,S,S,S
PRJEB58017,SAMEA112188773,ERR10748179,S,S,S
PRJEB58017,SAMEA112188775,ERR10748181,R,S,S
PRJEB58017,SAMEA112188776,ERR10748182,S,S,R
PRJEB58017,SAMEA112188777,ERR10748183,S,S,S
PRJEB58017,SAMEA112188778,ERR10748184,S,S,S
PRJEB58017,SAMEA112188779,ERR10748185,S,S,R
PRJEB58017,SAMEA112188780,ERR10748186,S,S,R
PRJEB58017,SAMEA112188781,ERR10748187,S,R,R
PRJEB58017,SAMEA112188782,ERR10748188,S,S,R
PRJEB58017,SAMEA112188783,ERR10748189,S,S,S
PRJEB58017,SAMEA112188784,ERR10748190,S,S,R
PRJEB58017,SAMEA112188786,ERR10748192,S,R,R
PRJEB58017,SAMEA112188787,ERR10748193,S,S,S
PRJEB58017,SAMEA112188788,ERR10748194,S,R,R
PRJEB58017,SAMEA112188789,ERR10748195,S,R,R
PRJEB58017,SAMEA112188790,ERR10748196,S,S,S
PRJEB58017,SAMEA112188791,ERR10748197,S,S,S
PRJEB58017,SAMEA112188792,ERR10748198,R,R,R
PRJEB58017,SAMEA112188793,ERR10748199,S,R,R
PRJEB58017,SAMEA112188795,ERR10748201,S,S,S
PRJEB58017,SAMEA112188797,ERR10748203,S,S,R
PRJEB58017,SAMEA112188798,ERR10748204,S,S,S
PRJEB58017,SAMEA112188800,ERR10748206,S,S,S
PRJEB58017,SAMEA112188801,ERR10748207,R,S,R
PRJEB58017,SAMEA112188802,ERR10748208,S,S,S
PRJEB58017,SAMEA112188803,ERR10748209,S,S,S
PRJEB58017,SAMEA112188805,ERR10748211,S,R,R
PRJEB58017,SAMEA112188806,ERR10748212,S,S,R
PRJEB58017,SAMEA112188807,ERR10748213,S,S,S
PRJEB58017,SAMEA112188808,ERR10748214,R,S,S
PRJEB58017,SAMEA112188809,ERR10748215,S,S,S
PRJEB58017,SAMEA112188810,ERR10748216,S,S,R
PRJEB58017,SAMEA112188812,ERR10748218,R,S,R
PRJEB58017,SAMEA112188813,ERR10748219,S,S,R
PRJEB58017,SAMEA112188815,ERR10748221,S,R,R
PRJEB58017,SAMEA112188816,ERR10748222,S,S,R
PRJEB58017,SAMEA112188817,ERR10748223,R,R,S
PRJEB58017,SAMEA112188818,ERR10748224,S,S,R
PRJEB58017,SAMEA112188819,ERR10748225,S,S,S
PRJEB58017,SAMEA112188820,ERR10748226,S,S,R
PRJEB58017,SAMEA112188821,ERR10748227,S,S,R
PRJEB58017,SAMEA112188822,ERR10748228,S,S,S
PRJEB58017,SAMEA112188823,ERR10748229,S,S,S
PRJEB58017,SAMEA112188824,ERR10748230,S,S,S
PRJEB58017,SAMEA112188825,ERR10748231,S,S,S
PRJEB58017,SAMEA112188826,ERR10748232,S,S,R
PRJEB58017,SAMEA112188827,ERR10748233,S,S,R
PRJEB58017,SAMEA112188828,ERR10748234,S,S,R
PRJEB58017,SAMEA112188830,ERR10748236,S,S,R
PRJEB58017,SAMEA112188831,ERR10748237,S,S,S
PRJEB58017,SAMEA112188832,ERR10748238,R,S,S
PRJEB58017,SAMEA112188833,ERR10748239,S,R,R
PRJEB58017,SAMEA112188834,ERR10748240,S,S,S
PRJEB58017,SAMEA112188835,ERR10748241,S,S,R
PRJEB58017,SAMEA112188836,ERR10748242,S,R,R
PRJEB58017,SAMEA112188837,ERR10748243,S,S,R
PRJEB58017,SAMEA112188838,ERR10748244,S,S,R
PRJEB58017,SAMEA112188840,ERR10748246,S,S,R
PRJEB58017,SAMEA112188841,ERR10748247,S,S,S
PRJEB58017,SAMEA112188842,ERR10748248,S,S,S
PRJEB58017,SAMEA112188843,ERR10748249,R,S,R
PRJEB58017,SAMEA112188844,ERR10748250,R,S,S
PRJEB58017,SAMEA112188845,ERR10748251,S,S,R
PRJEB58017,SAMEA112188846,ERR10748252,S,S,S
PRJEB58017,SAMEA112188847,ERR10748253,S,S,R
PRJEB58017,SAMEA112188848,ERR10748254,S,S,R
PRJEB58017,SAMEA112188849,ERR10748255,S,S,R
PRJEB58017,SAMEA112188850,ERR10748256,R,R,R
PRJEB58017,SAMEA112188851,ERR10748257,S,S,R
PRJEB58017,SAMEA112188853,ERR10748259,S,S,R
PRJEB58017,SAMEA112188854,ERR10748260,S,S,R
PRJEB58017,SAMEA112188855,ERR10748261,S,S,S
PRJEB58017,SAMEA112188856,ERR10748262,S,S,S
PRJEB58017,SAMEA112188857,ERR10748263,S,S,S
PRJEB58017,SAMEA112188858,ERR10748264,S,S,S
PRJEB58017,SAMEA112188859,ERR10748265,S,R,S
PRJEB58017,SAMEA112188860,ERR10748266,S,S,R
PRJEB58017,SAMEA112188863,ERR10748269,S,S,S
PRJEB58017,SAMEA112188864,ERR10748270,S,S,S
PRJEB58017,SAMEA112188865,ERR10748271,R,S,R
PRJEB58017,SAMEA112188866,ERR10748272,S,S,R
PRJEB58017,SAMEA112188867,ERR10748273,S,S,R
PRJEB58017,SAMEA112188869,ERR10748275,S,S,S
PRJEB58017,SAMEA112188871,ERR10748277,S,S,S
PRJEB58017,SAMEA112188872,ERR10748278,S,S,S
PRJEB58017,SAMEA112188873,ERR10748279,S,S,R
PRJEB58017,SAMEA112188876,ERR10748282,S,S,S
PRJEB58017,SAMEA112188877,ERR10748283,S,,
PRJEB58017,SAMEA112188878,ERR10748284,S,S,R
PRJEB58017,SAMEA112188879,ERR10748285,S,S,R
PRJEB58017,SAMEA112188881,ERR10748287,S,S,S
PRJEB58017,SAMEA112188882,ERR10748288,R,S,S
PRJEB58017,SAMEA112188883,ERR10748289,S,S,S
PRJEB58017,SAMEA112188884,ERR10748290,S,S,S
PRJEB58017,SAMEA112188885,ERR10748291,S,S,S
PRJEB58017,SAMEA112188886,ERR10748292,S,S,S
PRJEB58017,SAMEA112188887,ERR10748293,S,S,S
PRJEB58017,SAMEA112188888,ERR10748294,S,S,S
PRJEB58017,SAMEA112188890,ERR10748296,S,S,S
PRJEB58017,SAMEA112188891,ERR10748297,S,R,R
PRJEB58017,SAMEA112188892,ERR10748298,S,S,S
PRJEB58017,SAMEA112188893,ERR10748299,S,S,S
PRJEB58017,SAMEA112188894,ERR10748300,S,S,
PRJEB58017,SAMEA112188895,ERR10748301,S,S,S
PRJEB58017,SAMEA112188896,ERR10748302,S,S,S
PRJEB58017,SAMEA112188897,ERR10748303,S,S,S
PRJEB58017,SAMEA112188898,ERR10748304,S,S,S
PRJEB58017,SAMEA112188899,ERR10748305,S,S,S
PRJEB58017,SAMEA112188900,ERR10748306,S,S,S
PRJEB58017,SAMEA112188901,ERR10748307,S,S,R
PRJEB58017,SAMEA112188902,ERR10748308,S,S,S
PRJEB58017,SAMEA112188903,ERR10748309,S,S,S
PRJEB58017,SAMEA112188905,ERR10748311,S,S,R
PRJEB58017,SAMEA112188906,ERR10748312,S,S,
PRJEB58017,SAMEA112188907,ERR10748313,S,S,S
PRJEB58017,SAMEA112188908,ERR10748314,S,S,S
PRJEB58017,SAMEA112188909,ERR10748315,S,S,R
PRJEB58017,SAMEA112188910,ERR10748316,S,S,R
PRJEB58017,SAMEA112188911,ERR10748317,S,R,R
PRJEB58017,SAMEA112188912,ERR10748318,S,S,R
PRJEB58017,SAMEA112188913,ERR10748319,S,S,R
PRJEB58017,SAMEA112188914,ERR10748320,S,S,R
PRJEB58017,SAMEA112188915,ERR10748321,S,S,S
PRJEB58017,SAMEA112188916,ERR10748322,S,S,S
PRJEB58017,SAMEA112188917,ERR10748323,S,S,S
PRJEB58017,SAMEA112188918,ERR10748324,S,S,S
PRJEB58017,SAMEA112188919,ERR10748325,S,S,S
PRJEB58017,SAMEA112188921,ERR10748327,S,S,R
PRJEB58017,SAMEA112188922,ERR10748328,R,S,R
PRJEB58017,SAMEA112188923,ERR10748329,S,S,S
PRJEB58017,SAMEA112188924,ERR10748330,S,S,R
PRJEB58017,SAMEA112188926,ERR10748332,S,S,R
PRJEB58017,SAMEA112188927,ERR10748333,S,S,R
PRJEB58017,SAMEA112188928,ERR10748334,S,S,R
PRJEB58017,SAMEA112188930,ERR10748336,S,S,S
PRJEB58017,SAMEA112188932,ERR10748338,S,S,S
PRJEB58017,SAMEA112188933,ERR10748339,S,S,S
PRJEB58017,SAMEA112188934,ERR10748340,S,S,R
PRJEB58017,SAMEA112188935,ERR10748341,S,S,S
PRJEB58017,SAMEA112188937,ERR10748343,S,S,S
PRJEB58017,SAMEA112188938,ERR10748344,S,S,R
PRJEB58017,SAMEA112188939,ERR10748345,S,S,S
PRJEB58017,SAMEA112188940,ERR10748346,S,S,R
PRJEB58017,SAMEA112188941,ERR10748347,S,S,S
PRJEB58017,SAMEA112188942,ERR10748348,S,S,S
PRJEB58017,SAMEA112188943,ERR10748349,S,S,S
PRJEB58017,SAMEA112188944,ERR10748350,S,S,S
PRJEB58017,SAMEA112188945,ERR10748351,S,S,R
PRJEB58017,SAMEA112188946,ERR10748352,R,R,R
PRJEB58017,SAMEA112188948,ERR10748354,S,S,S
PRJEB58017,SAMEA112188950,ERR10748356,S,S,S
PRJEB58017,SAMEA112188951,ERR10748357,S,S,S
PRJEB58017,SAMEA112188952,ERR10748358,S,S,S
PRJEB58017,SAMEA112188953,ERR10748359,S,S,R
PRJEB58017,SAMEA112188956,ERR10748362,S,S,S
PRJEB58017,SAMEA112188957,ERR10748363,S,S,S
PRJEB58017,SAMEA112188958,ERR10748364,S,S,S
PRJEB58017,SAMEA112188959,ERR10748365,S,S,S
PRJEB58017,SAMEA112188960,ERR10748366,S,S,S
PRJEB58017,SAMEA112188961,ERR10748367,S,S,S
PRJEB58017,SAMEA112188962,ERR10748368,S,S,S
PRJEB58017,SAMEA112188963,ERR10748369,S,S,S
PRJEB58017,SAMEA112188964,ERR10748370,R,S,S
PRJEB58017,SAMEA112188965,ERR10748371,S,S,S
PRJEB58017,SAMEA112188966,ERR10748372,S,S,S
PRJEB58017,SAMEA112188967,ERR10748373,S,S,S
PRJEB58017,SAMEA112188968,ERR10748374,S,S,S
PRJEB58017,SAMEA112188969,ERR10748375,S,S,S
PRJEB58017,SAMEA112188970,ERR10748376,S,S,S
PRJEB58017,SAMEA112188971,ERR10748377,S,S,S
PRJEB58017,SAMEA112188972,ERR10748378,S,S,S
PRJEB58017,SAMEA112188973,ERR10748379,S,S,R
PRJEB58017,SAMEA112188974,ERR10748380,S,S,R
PRJEB58017,SAMEA112188975,ERR10748381,S,S,S
PRJEB58017,SAMEA112188976,ERR10748382,S,S,S
PRJEB58017,SAMEA112188977,ERR10748383,S,S,S
PRJEB58017,SAMEA112188978,ERR10748384,S,S,R
PRJEB58017,SAMEA112188979,ERR10748385,S,S,R
PRJEB58017,SAMEA112188980,ERR10748386,S,S,S
PRJEB58017,SAMEA112188981,ERR10748387,S,S,S
PRJEB58017,SAMEA112188982,ERR10748388,S,S,S
PRJEB58017,SAMEA112188983,ERR10748389,S,S,R
PRJEB58017,SAMEA112188984,ERR10748390,S,S,S
PRJEB58017,SAMEA112188985,ERR10748391,S,R,R
PRJEB58017,SAMEA112188986,ERR10748392,S,S,S
PRJEB58017,SAMEA112188987,ERR10748393,S,S,S
PRJEB58017,SAMEA112188988,ERR10748394,R,S,S
PRJEB58017,SAMEA112188989,ERR10748395,S,S,S
