isolateID,INH_pDST,PZA,EMB,ETH,KAN,FQ
ITM2010-00271,moderate,S,R,R,S,high
ITM2010-00380,no data,R,R,S,S,high
ITM2010-01140,moderate,R,R,R,S,high
ITM2010-01142,moderate,R,S,S,S,high
ITM2010-01661,moderate,R,R,S,S,high
ITM2010-01905,high,R,R,R,S,high
ITM2010-02106,moderate,S,R,R,S,high
ITM2012-00718,high,S,R,R,S,high
ITM2012-01808,high,S,R,R,S,high
ITM2013-00223,high,S,R,R,S,high
ITM2013-00244,no data,S,S,S,S,high
ITM2006-02368,moderate,S,R,S,S,high
ITM2008-04048,moderate,R,R,S,S,low
ITM2008-04071,high,R,R,S,S,high
ITM2008-04090,moderate,R,S,S,S,high
ITM2009-00101,high,S,R,S,S,high
ITM2009-00497,moderate,R,R,S,S,high
ITM2009-00523,moderate,S,R,S,S,high
ITM2002-01780,no data,S,R,S,S,low
ITM2003-00735,no data,S,S,S,S,S
ITM2003-00752,no data,S,S,S,S,S
ITM2003-01350,no data,S,S,S,S,S
ITM2004-01751,no data,S,R,R,S,S
ITM2010-02627,moderate,R,R,S,S,high
ITM2007-02214,moderate,S,R,S,S,high
ITM2005-00400,no data,S,S,R,S,S
ITM2005-00649,no data,S,R,S,S,S
ITM2005-00677,no data,S,S,S,S,S
ITM2005-00822,no data,S,S,S,S,S
ITM2005-00840,no data,S,R,S,S,S
ITM2005-01434,low,S,S,S,S,S
ITM2005-01535,low,R,R,R,S,S
ITM2005-01866,no data,R,R,S,S,S
ITM2005-01873,no data,S,S,S,S,S
ITM2005-01898,no data,S,R,S,S,S
ITM2005-02090,no data,R,R,S,S,S
ITM2005-02129,no data,S,R,S,S,S
ITM2005-02137,no data,S,R,R,S,low
ITM2005-02418,no data,S,R,S,S,S
ITM2005-02427,no data,S,R,S,S,low
ITM2005-02669,no data,S,S,S,S,S
ITM2005-02675,no data,S,S,S,S,S
ITM2005-02678,no data,S,S,S,S,S
ITM2005-02692,no data,R,R,S,S,S
ITM2005-02712,no data,S,S,S,S,S
ITM2005-02887,no data,S,S,S,S,S
ITM2005-02896,no data,S,R,S,S,S
ITM2005-02909,no data,S,R,S,S,S
ITM2005-02924,no data,S,S,S,S,S
ITM2005-02936,no data,R,R,R,S,S
ITM2005-02939,no data,S,R,S,S,S
ITM2005-02951,no data,R,R,S,S,S
ITM2006-00344,no data,S,R,S,S,S
ITM2006-00352,no data,S,S,S,S,S
ITM2006-00583,no data,R,R,R,S,S
ITM2006-00603,no data,S,R,R,S,S
ITM2006-01002,no data,S,S,S,S,S
ITM2006-01009,no data,S,S,R,S,S
ITM2006-01035,no data,R,R,S,S,S
ITM2006-01152,no data,R,S,S,S,S
ITM2006-01170,no data,S,R,S,S,S
ITM2006-01951,no data,S,R,S,S,S
ITM2006-02361,no data,S,R,S,S,S
ITM2006-02362,no data,S,R,S,S,low
ITM2006-02387,no data,S,S,S,S,S
ITM2006-02513,no data,R,R,S,S,S
ITM2006-03902,no data,S,R,R,S,S
ITM2006-04046,no data,S,S,R,S,S
ITM2006-04054,no data,S,R,R,S,S
ITM2006-04059,no data,S,R,S,S,S
ITM2006-04070,no data,R,S,S,S,S
ITM2007-00264,no data,S,S,S,S,S
ITM2007-00277,no data,S,R,R,S,S
ITM2007-01337,no data,R,R,R,S,S
ITM2007-01340,no data,S,S,S,S,S
ITM2007-01344,no data,S,R,S,S,S
ITM2007-01355,no data,S,R,S,S,S
ITM2007-01737,no data,S,R,S,S,S
ITM2007-01743,no data,S,R,R,S,S
ITM2007-01767,no data,R,R,S,S,S
ITM2007-01776,no data,R,R,S,S,S
ITM2007-01784,no data,S,R,R,S,S
ITM2007-01828,no data,S,S,S,S,S
ITM2007-02197,no data,S,R,S,S,S
ITM2007-02201,no data,S,S,S,S,S
ITM2007-02217,no data,R,S,R,S,S
ITM2007-02243,no data,R,R,S,S,S
ITM2007-03189,no data,R,R,R,S,S
ITM2007-03258,no data,S,R,R,S,S
ITM2007-03261,no data,S,R,S,S,S
ITM2007-03300,no data,S,S,S,S,S
ITM2007-03311,no data,R,R,R,S,low
ITM2007-03324,no data,S,S,S,S,S
ITM2007-03326,no data,S,R,S,S,S
ITM2007-03603,no data,R,R,S,S,S
ITM2007-03621,no data,R,R,S,S,S
ITM2007-03636,no data,R,R,S,S,S
ITM2008-00131,no data,S,R,R,S,S
ITM2008-00135,no data,R,R,R,S,low
ITM2008-00141,no data,S,S,S,S,S
ITM2008-00255,no data,R,R,S,S,S
ITM2008-00647,no data,S,S,S,S,S
ITM2008-00665,no data,S,S,S,S,S
ITM2008-00678,no data,S,S,S,S,S
ITM2008-00688,low,S,S,R,S,low
ITM2008-01544,no data,S,R,R,S,S
ITM2008-01547,no data,S,S,S,S,high
ITM2008-01710,no data,S,S,S,S,S
ITM2008-01717,no data,R,S,S,S,S
ITM2008-01770,no data,S,S,S,S,S
ITM2008-01773,no data,S,R,R,S,S
ITM2008-02054,no data,S,R,S,S,S
ITM2008-02377,no data,S,S,S,S,S
ITM2008-02380,no data,S,S,S,S,S
ITM2008-02385,no data,S,R,S,S,S
ITM2008-02412,no data,S,R,S,S,S
ITM2008-03131,no data,S,S,S,S,S
ITM2008-03145,no data,S,R,R,S,low
ITM2008-03147,S,S,S,S,S,S
ITM2008-03148,no data,S,S,R,S,S
ITM2008-03342,no data,S,R,S,S,S
ITM2008-03352,no data,S,R,S,S,S
ITM2008-04282,no data,R,R,S,S,S
ITM2008-04284,no data,S,S,S,S,S
ITM2008-04297,no data,R,R,S,S,S
ITM2008-04299,no data,S,R,S,S,S
ITM2008-04310,no data,S,R,S,S,S
ITM2008-04316,low,S,R,S,S,S
ITM2009-00604,no data,S,S,R,S,S
ITM2009-00804,no data,S,R,S,S,S
ITM2009-00814,no data,S,R,S,S,S
