run,isoniazid,pyrazinamide,ethambutol,ethionamide,kanamycin,bioproject,biosample
ERR4553759,R,S,R,R,S,PRJEB39569,SAMEA7280501
ERR4553763,,R,R,S,S,PRJEB39569,SAMEA7280505
ERR4553774,R,R,R,R,S,PRJEB39569,SAMEA7280516
ERR4553775,R,R,S,S,S,PRJEB39569,SAMEA7280517
ERR4553785,R,R,R,S,S,PRJEB39569,SAMEA7280527
ERR4553789,R,R,R,R,S,PRJEB39569,SAMEA7280531
ERR4553795,R,S,R,R,S,PRJEB39569,SAMEA7280537
ERR4553895,R,S,R,R,S,PRJEB39569,SAMEA7280637
ERR4553906,R,S,R,R,S,PRJEB39569,SAMEA7280648
ERR4553908,R,S,R,R,S,PRJEB39569,SAMEA7280650
ERR4553910,,S,S,S,S,PRJEB39569,SAMEA7280652
ERR4553507,R,S,R,S,S,PRJEB39569,SAMEA7280249
ERR4553663,R,R,R,S,S,PRJEB39569,SAMEA7280405
ERR4553667,R,R,R,S,S,PRJEB39569,SAMEA7280409
ERR4553668,R,R,S,S,S,PRJEB39569,SAMEA7280410
ERR4553680,R,S,R,S,S,PRJEB39569,SAMEA7280422
ERR4553683,R,R,R,S,S,PRJEB39569,SAMEA7280425
ERR4553684,R,S,R,S,S,PRJEB39569,SAMEA7280426
ERR4553406,,S,R,S,S,PRJEB39569,SAMEA7280148
ERR4553408,,S,S,S,S,PRJEB39569,SAMEA7280150
ERR4553409,,S,S,S,S,PRJEB39569,SAMEA7280151
ERR4553410,,S,S,S,S,PRJEB39569,SAMEA7280152
ERR4553411,,S,R,R,S,PRJEB39569,SAMEA7280153
ERR4553821,R,R,R,S,S,PRJEB39569,SAMEA7280563
ERR4553564,R,S,R,S,S,PRJEB39569,SAMEA7280306
ERR4553419,,S,S,R,S,PRJEB39569,SAMEA7280161
ERR4553420,,S,R,S,S,PRJEB39569,SAMEA7280162
ERR4553421,,S,S,S,S,PRJEB39569,SAMEA7280163
ERR4553422,,S,S,S,S,PRJEB39569,SAMEA7280164
ERR4553423,,S,R,S,S,PRJEB39569,SAMEA7280165
ERR4553424,R,S,S,S,S,PRJEB39569,SAMEA7280166
ERR4553425,R,R,R,R,S,PRJEB39569,SAMEA7280167
ERR4553433,,R,R,S,S,PRJEB39569,SAMEA7280175
ERR4553434,,S,S,S,S,PRJEB39569,SAMEA7280176
ERR4553435,,S,R,S,S,PRJEB39569,SAMEA7280177
ERR4553437,,R,R,S,S,PRJEB39569,SAMEA7280179
ERR4553438,,S,R,S,S,PRJEB39569,SAMEA7280180
ERR4553439,,S,R,R,S,PRJEB39569,SAMEA7280181
ERR4553447,,S,R,S,S,PRJEB39569,SAMEA7280189
ERR4553448,,S,R,S,S,PRJEB39569,SAMEA7280190
ERR4553449,,S,S,S,S,PRJEB39569,SAMEA7280191
ERR4553450,,S,S,S,S,PRJEB39569,SAMEA7280192
ERR4553451,,S,S,S,S,PRJEB39569,SAMEA7280193
ERR4553452,,R,R,S,S,PRJEB39569,SAMEA7280194
ERR4553453,,S,S,S,S,PRJEB39569,SAMEA7280195
ERR4553461,,S,S,S,S,PRJEB39569,SAMEA7280203
ERR4553462,,S,R,S,S,PRJEB39569,SAMEA7280204
ERR4553463,,S,R,S,S,PRJEB39569,SAMEA7280205
ERR4553464,,S,S,S,S,PRJEB39569,SAMEA7280206
ERR4553465,,R,R,R,S,PRJEB39569,SAMEA7280207
ERR4553466,,S,R,S,S,PRJEB39569,SAMEA7280208
ERR4553467,,R,R,S,S,PRJEB39569,SAMEA7280209
ERR4553475,,S,R,S,S,PRJEB39569,SAMEA7280217
ERR4553476,,S,S,S,S,PRJEB39569,SAMEA7280218
ERR4553478,,R,R,R,S,PRJEB39569,SAMEA7280220
ERR4553479,,S,R,R,S,PRJEB39569,SAMEA7280221
ERR4553489,,S,S,S,S,PRJEB39569,SAMEA7280231
ERR4553490,,S,S,R,S,PRJEB39569,SAMEA7280232
ERR4553492,,R,R,S,S,PRJEB39569,SAMEA7280234
ERR4553493,,R,S,S,S,PRJEB39569,SAMEA7280235
ERR4553495,,S,R,S,S,PRJEB39569,SAMEA7280237
ERR4553503,,S,R,S,S,PRJEB39569,SAMEA7280245
ERR4553504,,S,R,S,S,PRJEB39569,SAMEA7280246
ERR4553505,,S,R,S,S,PRJEB39569,SAMEA7280247
ERR4553509,,S,S,S,S,PRJEB39569,SAMEA7280251
ERR4553510,,R,R,S,S,PRJEB39569,SAMEA7280252
ERR4553518,,S,R,R,S,PRJEB39569,SAMEA7280260
ERR4553519,,S,S,R,S,PRJEB39569,SAMEA7280261
ERR4553521,,S,R,R,S,PRJEB39569,SAMEA7280263
ERR4553522,,S,R,S,S,PRJEB39569,SAMEA7280264
ERR4553524,,R,S,S,S,PRJEB39569,SAMEA7280266
ERR4553532,,S,S,S,S,PRJEB39569,SAMEA7280274
ERR4553533,,S,R,R,S,PRJEB39569,SAMEA7280275
ERR4553534,,R,R,R,S,PRJEB39569,SAMEA7280276
ERR4553536,,S,S,S,S,PRJEB39569,SAMEA7280278
ERR4553537,,S,R,S,S,PRJEB39569,SAMEA7280279
ERR4553538,,S,R,S,S,PRJEB39569,SAMEA7280280
ERR4553546,,S,R,S,S,PRJEB39569,SAMEA7280288
ERR4553547,,S,R,R,S,PRJEB39569,SAMEA7280289
ERR4553549,,R,R,S,S,PRJEB39569,SAMEA7280291
ERR4553550,,R,R,S,S,PRJEB39569,SAMEA7280292
ERR4553551,,S,R,R,S,PRJEB39569,SAMEA7280293
ERR4553552,,S,S,S,S,PRJEB39569,SAMEA7280294
ERR4553561,,S,R,S,S,PRJEB39569,SAMEA7280303
ERR4553563,,S,S,S,S,PRJEB39569,SAMEA7280305
ERR4553565,,R,S,R,S,PRJEB39569,SAMEA7280307
ERR4553568,,R,R,S,S,PRJEB39569,SAMEA7280310
ERR4553578,,R,R,R,S,PRJEB39569,SAMEA7280320
ERR4553579,,S,R,R,S,PRJEB39569,SAMEA7280321
ERR4553580,,S,R,S,S,PRJEB39569,SAMEA7280322
ERR4553581,,S,S,S,S,PRJEB39569,SAMEA7280323
ERR4553582,,R,R,R,S,PRJEB39569,SAMEA7280324
ERR4553583,,S,S,S,S,PRJEB39569,SAMEA7280325
ERR4553584,,S,R,S,S,PRJEB39569,SAMEA7280326
ERR4553593,,R,R,S,S,PRJEB39569,SAMEA7280335
ERR4553594,,R,R,S,S,PRJEB39569,SAMEA7280336
ERR4553595,,R,R,S,S,PRJEB39569,SAMEA7280337
ERR4553597,,S,R,R,S,PRJEB39569,SAMEA7280339
ERR4553598,,R,R,R,S,PRJEB39569,SAMEA7280340
ERR4553599,,S,S,S,S,PRJEB39569,SAMEA7280341
ERR4553607,,R,R,S,S,PRJEB39569,SAMEA7280349
ERR4553609,,S,S,S,S,PRJEB39569,SAMEA7280351
ERR4553610,,S,S,S,S,PRJEB39569,SAMEA7280352
ERR4553611,,S,S,S,S,PRJEB39569,SAMEA7280353
ERR4553612,R,S,S,R,S,PRJEB39569,SAMEA7280354
ERR4553622,,S,R,R,S,PRJEB39569,SAMEA7280364
ERR4553623,,S,S,S,S,PRJEB39569,SAMEA7280365
ERR4553624,,S,S,S,S,PRJEB39569,SAMEA7280366
ERR4553626,,R,S,S,S,PRJEB39569,SAMEA7280368
ERR4553627,,S,S,S,S,PRJEB39569,SAMEA7280369
ERR4553628,,S,R,R,S,PRJEB39569,SAMEA7280370
ERR4553638,,S,R,S,S,PRJEB39569,SAMEA7280380
ERR4553639,,S,S,S,S,PRJEB39569,SAMEA7280381
ERR4553640,,S,S,S,S,PRJEB39569,SAMEA7280382
ERR4553641,,S,R,S,S,PRJEB39569,SAMEA7280383
ERR4553642,,S,R,S,S,PRJEB39569,SAMEA7280384
ERR4553652,,S,S,S,S,PRJEB39569,SAMEA7280394
ERR4553654,,S,R,R,S,PRJEB39569,SAMEA7280396
ERR4553655,S,S,S,S,S,PRJEB39569,SAMEA7280397
ERR4553656,,S,S,R,S,PRJEB39569,SAMEA7280398
ERR4553657,,S,R,S,S,PRJEB39569,SAMEA7280399
ERR4553658,,S,R,S,S,PRJEB39569,SAMEA7280400
ERR4553671,,R,R,S,S,PRJEB39569,SAMEA7280413
ERR4553672,,S,S,S,S,PRJEB39569,SAMEA7280414
ERR4553673,,R,R,S,S,PRJEB39569,SAMEA7280415
ERR4553675,,S,R,S,S,PRJEB39569,SAMEA7280417
ERR4553676,,S,R,S,S,PRJEB39569,SAMEA7280418
ERR4553677,R,S,R,S,S,PRJEB39569,SAMEA7280419
ERR4553688,,S,S,R,S,PRJEB39569,SAMEA7280430
ERR4553690,,S,R,S,S,PRJEB39569,SAMEA7280432
ERR4553691,,S,R,S,S,PRJEB39569,SAMEA7280433
ERR4553692,,S,R,S,S,PRJEB39569,SAMEA7280434
ERR4553693,,S,S,S,S,PRJEB39569,SAMEA7280435
ERR4553696,R,S,S,S,S,PRJEB39569,SAMEA7280438
ERR4553697,,S,R,S,S,PRJEB39569,SAMEA7280439
ERR4553705,,S,R,S,S,PRJEB39569,SAMEA7280447
ERR4553706,,S,R,S,S,PRJEB39569,SAMEA7280448
ERR4553707,,S,S,S,S,PRJEB39569,SAMEA7280449
ERR4553708,,S,R,S,S,PRJEB39569,SAMEA7280450
ERR4553709,,S,S,S,S,PRJEB39569,SAMEA7280451
ERR4553711,,S,R,S,S,PRJEB39569,SAMEA7280453
ERR4553712,,R,R,S,S,PRJEB39569,SAMEA7280454
ERR4553722,,S,S,R,S,PRJEB39569,SAMEA7280464
ERR4553723,,S,S,S,S,PRJEB39569,SAMEA7280465
ERR4553725,,R,R,R,S,PRJEB39569,SAMEA7280467
ERR4553726,,R,R,R,S,PRJEB39569,SAMEA7280468
ERR4553727,,S,S,S,S,PRJEB39569,SAMEA7280469
ERR4553728,,R,R,S,S,PRJEB39569,SAMEA7280470
ERR4553729,,S,R,S,S,PRJEB39569,SAMEA7280471
ERR4553737,,S,S,S,S,PRJEB39569,SAMEA7280479
ERR4553738,,S,R,S,S,PRJEB39569,SAMEA7280480
ERR4553739,,R,R,S,S,PRJEB39569,SAMEA7280481
