accession,S,H,R,E,Z,Am,Km,Cm,Cs,Cfx,Ofx,PAS,Rbt,Mfx,Line,Eto
ERR108514,r,r,r,r,s,r,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERR108499,r,r,r,s,s,s,nd,s,nd,nd,r,nd,nd,nd,nd,nd
ERR234597,r,r,r,s,s,r,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERR133815,r,r,r,s,r,s,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERR067584,r,r,r,r,s,r,nd,r,nd,nd,r,nd,nd,r,nd,nd
ERR133837,r,r,r,s,s,s,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERR067723,r,r,r,s,s,s,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERR067692,r,r,r,r,s,s,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERR067694,r,r,r,s,s,r,nd,r,nd,nd,s,nd,nd,nd,nd,nd
ERR234630,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR067696,r,r,r,s,s,r,nd,s,nd,nd,r,nd,nd,nd,nd,nd
ERR067588,r,r,r,s,s,s,nd,r,nd,nd,s,nd,nd,s,nd,nd
ERR067744,r,r,r,s,s,s,nd,s,nd,nd,r,nd,nd,s,nd,nd
ERR234607,r,r,r,s,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR067631,r,r,r,s,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR234639,r,r,r,r,r,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERR234584,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR133879,r,r,r,r,r,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERR133880,s,r,r,s,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR234600,r,r,r,r,r,s,nd,r,nd,nd,r,nd,nd,r,nd,nd
ERR133888,r,r,r,r,s,s,nd,s,nd,nd,s,nd,nd,nd,nd,nd
ERR234649,r,r,r,s,r,r,nd,r,nd,nd,s,nd,nd,s,nd,nd
ERR133899,r,r,r,r,s,r,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR234610,r,r,r,s,s,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERR133900,r,r,r,r,r,r,nd,r,nd,nd,r,nd,nd,r,nd,nd
ERR133901,r,r,r,r,s,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERR133907,r,r,r,r,s,s,nd,s,nd,nd,r,nd,nd,s,nd,nd
ERR117454,r,r,r,s,r,r,nd,r,nd,nd,r,nd,nd,r,nd,nd
ERR133951,r,r,r,r,r,s,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERR067659,r,r,r,s,s,r,nd,r,nd,nd,s,nd,nd,s,nd,nd
ERR067667,r,r,r,r,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR108439,r,r,r,r,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR067668,r,r,r,r,r,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERR067671,r,r,r,r,s,r,nd,r,nd,nd,r,nd,nd,r,nd,nd
ERR067644,r,r,r,r,r,r,nd,s,nd,nd,r,nd,nd,r,nd,nd
ERR067674,r,r,r,r,s,r,nd,r,nd,nd,r,nd,nd,s,nd,nd
ERS458482,r,r,r,r,s,nd,nd,s,s,nd,s,nd,nd,nd,nd,r
ERS458557,r,r,r,r,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
ERS458185,r,r,r,s,s,s,nd,s,s,nd,s,s,r,nd,s,s
ERR133982,r,r,r,s,s,s,nd,s,nd,nd,s,nd,nd,s,nd,nd
ERS458728,r,r,r,r,r,nd,nd,r,s,nd,s,nd,nd,nd,s,b
ERS457369,r,r,r,r,s,nd,nd,s,s,nd,s,nd,s,nd,s,r
ERS457080,r,r,r,s,r,nd,nd,s,s,nd,s,r,nd,nd,s,r
