run,amikacin,bioproject,biosample,ethambutol,ethionamide,isoniazid,kanamycin,ofloxacin,pyrazinamide,rifampicin,streptomycin
SRR18897164,,PRJNA650381,SAMN27743960,,S,,,,,,
SRR18897162,,PRJNA650381,SAMN27743962,,,,,,,,R
SRR18897176,,PRJNA650381,SAMN27743966,S,S,S,,,S,S,
SRR18897174,,PRJNA650381,SAMN27743968,,,S,,,,,
SRR18909928,,PRJNA650381,SAMN27761164,S,,S,,,S,S,
SRR18909927,,PRJNA650381,SAMN27761165,S,R,R,S,S,R,S,S
SRR18909916,,PRJNA650381,SAMN27761166,S,,S,,,S,S,
SRR18909915,,PRJNA650381,SAMN27761167,S,S,S,,,S,S,
SRR18909914,S,PRJNA650381,SAMN27761168,S,R,R,S,S,S,S,S
SRR18909913,,PRJNA650381,SAMN27761169,S,,S,,,S,S,
SRR18909912,S,PRJNA650381,SAMN27761170,S,S,S,S,S,S,S,S
SRR18909911,,PRJNA650381,SAMN27761171,S,,S,,,S,S,
SRR18909909,,PRJNA650381,SAMN27761173,S,,S,,,S,S,
SRR18909926,,PRJNA650381,SAMN27761174,S,,S,,,S,S,
SRR18909925,S,PRJNA650381,SAMN27761175,S,R,R,S,S,S,S,S
SRR18909922,S,PRJNA650381,SAMN27761178,R,S,R,S,S,R,R,S
SRR18910171,,PRJNA650381,SAMN27761464,S,,S,,,S,S,
SRR18910160,,PRJNA650381,SAMN27761465,S,S,S,,,S,S,
SRR18910159,,PRJNA650381,SAMN27761466,S,,S,,,S,S,
SRR18910158,,PRJNA650381,SAMN27761467,S,,S,,,S,S,
SRR18910156,S,PRJNA650381,SAMN27761469,S,S,S,S,S,S,S,S
SRR18910155,,PRJNA650381,SAMN27761470,,,,,,,,R
SRR18910170,S,PRJNA650381,SAMN27761473,S,R,R,S,S,S,S,S
SRR18910165,,PRJNA650381,SAMN27761478,S,,S,,,S,S,
SRR18910164,,PRJNA650381,SAMN27761479,S,,S,,,S,S,
SRR18910163,,PRJNA650381,SAMN27761480,S,,S,,,S,S,
SRR18910162,,PRJNA650381,SAMN27761481,S,,S,,,S,S,
