study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_platform	instrument_model	fastq_ftp	sample_alias	sample_title
PRJNA650381	SAMN15702997	SRX8893429	SRR12395041	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/041/SRR12395041/SRR12395041_1.fastq.gz	IDR1900036271-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703096	SRX8893428	SRR12395042	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/042/SRR12395042/SRR12395042_1.fastq.gz	IDR1900043669-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703095	SRX8893427	SRR12395043	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/043/SRR12395043/SRR12395043_1.fastq.gz	IDR1900043668-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703094	SRX8893426	SRR12395044	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/044/SRR12395044/SRR12395044_1.fastq.gz	IDR1900043667-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703093	SRX8893425	SRR12395045	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/045/SRR12395045/SRR12395045_1.fastq.gz	IDR1900043666-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703092	SRX8893424	SRR12395046	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/046/SRR12395046/SRR12395046_1.fastq.gz	IDR1900043665-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703091	SRX8893423	SRR12395047	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/047/SRR12395047/SRR12395047_1.fastq.gz	IDR1900043664-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703090	SRX8893422	SRR12395048	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/048/SRR12395048/SRR12395048_1.fastq.gz	IDR1900043663-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703089	SRX8893421	SRR12395049	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/049/SRR12395049/SRR12395049_1.fastq.gz	IDR1900043661-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
PRJNA650381	SAMN15703088	SRX8893420	SRR12395050	1773	Mycobacterium tuberculosis	OXFORD_NANOPORE	MinION	ftp.sra.ebi.ac.uk/vol1/fastq/SRR123/050/SRR12395050/SRR12395050_1.fastq.gz	IDR1900043659-01-01	This sample has been submitted by pda|pascal.lap@gmail.com on 2020-10-17; Mycobacterium tuberculosis
