run,amikacin,bioproject,biosample,ethambutol,ethionamide,isoniazid,kanamycin,ofloxacin,pyrazinamide,rifampicin,streptomycin
SRR12395083,,PRJNA650381,SAMN15702924,,S,,,,,,
SRR12395081,,PRJNA650381,SAMN15702926,,,,,,,,R
SRR12395341,,PRJNA650381,SAMN15702930,S,S,S,,,S,S,
SRR12395339,,PRJNA650381,SAMN15702932,,,S,,,,,
SRR12395332,,PRJNA650381,SAMN15702938,S,,S,,,S,S,
SRR12395331,,PRJNA650381,SAMN15702939,S,R,R,S,S,R,S,S
SRR12395330,,PRJNA650381,SAMN15702940,S,,S,,,S,S,
SRR12395329,,PRJNA650381,SAMN15702941,S,S,S,,,S,S,
SRR12395328,S,PRJNA650381,SAMN15702942,S,R,R,S,S,S,S,S
SRR12395327,,PRJNA650381,SAMN15702943,S,,S,,,S,S,
SRR12395326,S,PRJNA650381,SAMN15702944,S,S,S,S,S,S,S,S
SRR12395325,,PRJNA650381,SAMN15702945,S,,S,,,S,S,
SRR12395322,,PRJNA650381,SAMN15702947,S,,S,,,S,S,
SRR12395321,,PRJNA650381,SAMN15702948,S,,S,,,S,S,
SRR12395320,S,PRJNA650381,SAMN15702949,S,R,R,S,S,S,S,S
SRR12395317,S,PRJNA650381,SAMN15702952,R,S,R,S,S,R,R,S
SRR12395309,,PRJNA650381,SAMN15702959,S,,S,,,S,S,
SRR12395308,,PRJNA650381,SAMN15702960,S,S,S,,,S,S,
SRR12395307,,PRJNA650381,SAMN15702961,S,,S,,,S,S,
SRR12395306,,PRJNA650381,SAMN15702962,S,,S,,,S,S,
SRR12395304,S,PRJNA650381,SAMN15702964,S,S,S,S,S,S,S,S
SRR12395347,,PRJNA650381,SAMN15702965,,,,,,,,R
SRR12395260,S,PRJNA650381,SAMN15702968,S,R,R,S,S,S,S,S
SRR12395053,,PRJNA650381,SAMN15702973,S,,S,,,S,S,
SRR12395369,,PRJNA650381,SAMN15702974,S,,S,,,S,S,
SRR12395173,,PRJNA650381,SAMN15702975,S,,S,,,S,S,
SRR12395135,,PRJNA650381,SAMN15702976,S,,S,,,S,S,
SRR12395124,,PRJNA650381,SAMN15702977,S,,S,,,S,S,
SRR12395113,,PRJNA650381,SAMN15702978,S,,S,,,S,S,
SRR12395102,,PRJNA650381,SAMN15702979,S,,S,,,S,S,
SRR12395091,S,PRJNA650381,SAMN15702980,S,R,S,S,S,S,S,S
SRR12395345,S,PRJNA650381,SAMN15702981,S,S,R,S,S,S,S,S
SRR12395334,,PRJNA650381,SAMN15702983,S,,S,,,S,S,
SRR12395323,S,PRJNA650381,SAMN15702984,S,S,S,S,S,S,S,S
SRR12395312,,PRJNA650381,SAMN15702985,S,,S,,,S,S,
SRR12395250,,PRJNA650381,SAMN15702989,,S,,,,,,
SRR12395228,,PRJNA650381,SAMN15702992,,,S,,,,,
SRR12395075,,PRJNA650381,SAMN15702993,,,S,,,,,
SRR12395064,S,PRJNA650381,SAMN15702994,S,S,S,S,S,S,S,S
SRR12395041,,PRJNA650381,SAMN15702997,S,,S,,,S,S,
SRR12395457,,PRJNA650381,SAMN15702998,S,,S,,,S,S,
SRR12395252,,PRJNA650381,SAMN15702999,S,,S,,,S,S,
SRR12395446,,PRJNA650381,SAMN15703000,S,,S,,,S,S,
SRR12395435,,PRJNA650381,SAMN15703001,S,,S,,,S,S,
SRR12395424,,PRJNA650381,SAMN15703002,S,,S,,,S,S,
SRR12395413,,PRJNA650381,SAMN15703003,S,,S,,,S,S,
SRR12395247,,PRJNA650381,SAMN15703008,,,S,,,,,
SRR12395246,,PRJNA650381,SAMN15703009,S,,S,,,S,S,
SRR12395244,,PRJNA650381,SAMN15703011,S,,S,,,S,S,
SRR12395243,,PRJNA650381,SAMN15703012,S,,S,,,S,S,
SRR12395242,S,PRJNA650381,SAMN15703013,S,S,S,S,S,S,S,S
SRR12395241,,PRJNA650381,SAMN15703014,S,,S,,,S,S,
SRR12395240,,PRJNA650381,SAMN15703015,S,S,S,,,S,S,
SRR12395238,S,PRJNA650381,SAMN15703016,S,S,R,S,S,S,S,R
SRR12395237,,PRJNA650381,SAMN15703017,S,,S,,,S,S,
SRR12395236,S,PRJNA650381,SAMN15703018,S,R,R,S,S,S,S,R
SRR12395233,S,PRJNA650381,SAMN15703021,R,R,R,S,S,R,R,R
SRR12395232,,PRJNA650381,SAMN15703022,,S,,,,,,
SRR12395391,,PRJNA650381,SAMN15703023,,,,,,,,S
SRR12395231,,PRJNA650381,SAMN15703024,S,,S,,,S,S,
SRR12395230,,PRJNA650381,SAMN15703026,S,,S,,,S,S,
SRR12395229,,PRJNA650381,SAMN15703027,S,,S,,,S,S,
SRR12395227,S,PRJNA650381,SAMN15703028,S,S,S,S,S,S,S,R
SRR12395225,S,PRJNA650381,SAMN15703031,S,S,R,S,S,S,S,R
SRR12395380,,PRJNA650381,SAMN15703033,S,,S,,,S,S,
SRR12395224,,PRJNA650381,SAMN15703034,S,,S,,,S,S,
SRR12395161,S,PRJNA650381,SAMN15703036,S,S,R,S,S,S,S,S
SRR12395150,,PRJNA650381,SAMN15703037,,S,,,,S,,
SRR12395223,S,PRJNA650381,SAMN15703039,S,S,S,S,S,S,S,R
SRR12395080,,PRJNA650381,SAMN15703040,S,S,S,,,S,S,
SRR12395079,,PRJNA650381,SAMN15703041,S,,S,,,S,S,
SRR12395078,,PRJNA650381,SAMN15703042,S,,S,,,S,S,
SRR12395077,,PRJNA650381,SAMN15703043,S,,S,,,S,S,
SRR12395076,,PRJNA650381,SAMN15703044,S,S,S,,,S,S,
SRR12395074,,PRJNA650381,SAMN15703045,S,S,S,,,S,S,
SRR12395073,,PRJNA650381,SAMN15703046,,S,,,,,,
SRR12395141,,PRJNA650381,SAMN15703053,,,,,,,,R
SRR12395268,S,PRJNA650381,SAMN15703054,S,S,R,S,S,S,S,R
SRR12395217,,PRJNA650381,SAMN15703055,S,,S,,,S,S,
SRR12395206,,PRJNA650381,SAMN15703056,S,,S,,,S,S,
SRR12395195,,PRJNA650381,SAMN15703057,S,R,S,,,S,S,
SRR12395184,S,PRJNA650381,SAMN15703058,S,R,R,S,S,S,S,R
SRR12395172,S,PRJNA650381,SAMN15703059,S,S,S,S,S,S,R,S
SRR12395070,,PRJNA650381,SAMN15703060,,,S,,,,S,
SRR12395137,,PRJNA650381,SAMN15703068,S,,S,,,S,S,
SRR12395136,S,PRJNA650381,SAMN15703069,S,R,R,S,S,S,S,R
SRR12395134,,PRJNA650381,SAMN15703070,S,,R,,,S,S,
SRR12395066,,PRJNA650381,SAMN15703071,S,,R,,,S,S,
SRR12395103,S,PRJNA650381,SAMN15703076,R,R,R,S,S,R,R,S
SRR12395061,S,PRJNA650381,SAMN15703079,S,S,S,S,S,S,S,S
SRR12395060,S,PRJNA650381,SAMN15703080,S,R,S,S,S,R,S,S
SRR12395059,S,PRJNA650381,SAMN15703081,S,S,S,S,S,R,R,S
SRR12395058,S,PRJNA650381,SAMN15703082,S,S,S,S,S,S,S,S
SRR12395057,S,PRJNA650381,SAMN15703083,S,R,S,S,S,R,S,S
SRR12395056,S,PRJNA650381,SAMN15703084,S,S,S,S,S,S,R,S
SRR12395055,,PRJNA650381,SAMN15703085,S,,S,,,S,S,
SRR12395054,,PRJNA650381,SAMN15703086,S,,S,,,,S,
SRR12395051,,PRJNA650381,SAMN15703087,S,,S,,,S,S,
SRR12395049,,PRJNA650381,SAMN15703089,S,,S,,,S,S,
SRR12395048,,PRJNA650381,SAMN15703090,S,,S,,,S,S,
SRR12395047,,PRJNA650381,SAMN15703091,S,,S,,,S,S,
SRR12395046,,PRJNA650381,SAMN15703092,S,,S,,,S,S,
SRR12395045,R,PRJNA650381,SAMN15703093,R,R,R,R,S,R,R,R
SRR12395044,,PRJNA650381,SAMN15703094,S,,S,,,S,S,
SRR12395043,S,PRJNA650381,SAMN15703095,S,S,S,S,S,R,S,R
SRR12395042,,PRJNA650381,SAMN15703096,S,,S,,,S,S,
SRR12395467,,PRJNA650381,SAMN15703097,S,,S,,,S,S,
SRR12395466,,PRJNA650381,SAMN15703098,S,,S,,,S,S,
SRR12395465,,PRJNA650381,SAMN15703099,S,S,S,,,S,S,
SRR12395464,,PRJNA650381,SAMN15703100,S,,S,,,S,S,
SRR12395463,,PRJNA650381,SAMN15703101,S,,S,,,S,S,
SRR12395098,,PRJNA650381,SAMN15703104,,,S,,,,,
SRR12395094,,PRJNA650381,SAMN15703110,S,,S,,,S,S,
SRR12395093,,PRJNA650381,SAMN15703111,S,,S,,,S,S,
