accession,rifampicin,isoniazid,pyrazinamide,ethambutol,streptomycin,fluoroquinolones,moxifloxacin,ofloxacin,levofloxacin,ciprofloxacin,aminoglycosides,amikacin,kanamycin,capreomycin,ethionamide,para-aminosalicylic_acid,cycloserine
SRR1180359,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1180415,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR688042,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034588,R,R,R,S,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR1034610,R,R,R,R,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688020,R,R,R,R,ND,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034606,R,R,R,S,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
ERR688038,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR1034592,R,R,R,R,S,ND,ND,ND,ND,R,ND,R,R,R,R,ND,ND
ERR688024,R,R,R,R,ND,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR688039,R,R,R,R,ND,R,ND,ND,ND,ND,ND,R,R,R,ND,ND,ND
ERR1034607,R,R,R,R,S,ND,ND,ND,ND,R,ND,R,R,S,S,ND,ND
SRR1180970,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR6848320,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR6848323,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1035299,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1873534,R,R,R,R,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873475,R,R,R,S,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR108480,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172239,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172313,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1035260,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1034783,R,R,R,S,S,ND,ND,ND,ND,R,ND,ND,R,S,S,S,S
ERR2516698,R,R,S,R,R,ND,R,ND,ND,ND,ND,ND,R,R,R,ND,ND
ERR2516738,R,R,R,R,S,ND,R,ND,ND,ND,ND,S,S,R,S,ND,ND
ERR1034789,R,R,R,R,R,ND,ND,ND,ND,R,ND,ND,R,R,R,S,S
ERR2516623,R,R,S,R,R,ND,R,ND,ND,ND,ND,S,R,R,R,ND,ND
SRR6848321,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1873518,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873448,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,R,S,S,S
ERR1873554,R,R,R,S,R,ND,S,R,ND,ND,ND,S,S,R,S,S,S
ERR1873550,R,R,S,R,R,ND,R,R,ND,ND,ND,R,R,R,R,S,S
ERR1873441,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,S,S,S,R
ERR1873462,R,R,R,R,R,ND,S,R,ND,ND,ND,R,R,R,S,S,S
ERR2516709,R,R,R,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR2516728,R,R,R,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
SRR924218,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1034603,R,R,R,R,S,ND,ND,ND,ND,R,ND,R,R,R,S,ND,ND
ERR688035,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR1873531,R,R,R,S,S,ND,S,R,ND,ND,ND,S,S,R,S,S,R
ERR1873506,R,R,R,R,R,ND,R,R,ND,ND,ND,R,R,R,S,S,R
SRR1175354,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173038,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184360,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1196586,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173422,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR2433008,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062837,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR924217,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1062841,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1172836,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1173032,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR227985,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR067645,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR867524,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR867534,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1035363,R,R,ND,R,S,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1035355,R,R,ND,R,S,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR2516591,R,R,ND,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR2516430,R,R,R,S,R,ND,R,ND,ND,ND,ND,R,R,S,S,ND,ND
ERR2516645,R,R,R,R,R,ND,R,ND,ND,ND,ND,R,R,R,S,ND,ND
ERR1034999,R,R,R,S,S,ND,ND,R,ND,ND,ND,ND,R,ND,R,ND,ND
ERR1035327,R,R,ND,S,S,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1035314,R,R,ND,S,S,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
SRR1184340,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1034611,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,R,ND,ND
ERR688043,R,R,R,ND,ND,R,ND,ND,ND,ND,ND,R,R,ND,ND,ND,ND
ERR1034598,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,R,R,ND,ND
ERR688030,R,R,R,R,ND,R,ND,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR688041,R,R,R,R,R,R,ND,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR1034609,R,R,R,R,R,ND,ND,ND,ND,R,ND,R,R,S,R,ND,ND
ERR1873449,R,R,R,R,S,ND,R,R,ND,ND,ND,S,R,S,S,S,S
ERR1873459,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,S,S,S,S
SRR1196528,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR1184352,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR671862,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,R,ND,ND
SRR921503,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SRR671725,R,R,ND,R,R,ND,ND,R,ND,ND,ND,ND,R,R,S,ND,ND
SRR671740,R,R,ND,S,S,ND,ND,R,ND,ND,ND,ND,R,S,S,ND,ND
SRR671760,R,R,ND,S,R,ND,ND,R,ND,ND,ND,ND,R,S,R,ND,ND
ERR1873483,R,R,R,R,S,ND,S,R,ND,ND,ND,R,R,R,S,S,S
SRR833000,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1873512,R,R,R,S,R,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873444,R,R,R,R,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1873511,R,R,R,S,S,ND,R,R,ND,ND,ND,R,R,R,S,S,S
ERR1035359,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR2432994,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ERR1035321,R,R,ND,R,R,ND,ND,R,ND,ND,ND,S,S,R,ND,ND,ND
ERR1035288,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR1035266,R,R,ND,R,R,ND,ND,R,ND,ND,ND,R,R,R,ND,ND,ND
ERR2516662,R,R,S,R,R,ND,R,ND,ND,ND,ND,R,R,R,R,ND,ND
ERR1035228,R,R,R,R,R,ND,ND,R,ND,ND,ND,R,R,R,R,S,S
ERR1035221,R,R,R,R,R,ND,R,R,ND,ND,ND,R,ND,R,R,S,S
ERR1036291,R,R,R,R,S,ND,ND,R,ND,ND,ND,R,R,R,R,S,S
ERR1035237,R,R,R,R,R,ND,R,R,ND,ND,ND,R,ND,R,R,ND,ND
