run,bioproject,study,biosample,sample,experiment,amikacin,bedaquiline,capreomycin,clofazimine,delamanid,ethionamide,ethambutol,isoniazid,kanamycin,levofloxacin,linezolid,moxifloxacin,pyrazinamide,rifampicin,streptomycin
ERR2516949,PRJEB26001,,,ERS2401626,ERX2536164,S,,S,,,,,R,R,S,,S,,R,
ERR2516943,PRJEB26001,,,ERS2401620,ERX2536158,S,,S,,,,R,R,R,R,,R,,R,
ERR2517010,PRJEB26001,,,ERS2401687,ERX2536225,S,,S,,,,,R,S,R,,R,,R,
ERR2516824,PRJEB26001,,,ERS2401501,ERX2536039,S,,S,,,,R,R,S,R,,R,,R,
ERR2516841,PRJEB26001,,,ERS2401518,ERX2536056,S,,S,,,,R,R,S,R,,R,,R,
ERR2517030,PRJEB26001,,,ERS2401707,ERX2536245,,,,,,,S,S,,,,,,S,
ERR2517047,PRJEB26001,,,ERS2401724,ERX2536262,R,,R,,,,R,R,R,R,,R,,R,
ERR2517067,PRJEB26001,,,ERS2401744,ERX2536282,S,,S,,,,,R,S,S,,S,,R,
ERR2516781,PRJEB26001,,,ERS2401458,ERX2535996,S,,S,,,,R,R,S,R,,R,,R,
ERR2517086,PRJEB26001,,,ERS2401763,ERX2536301,,,,,,,,R,,,,,,R,
ERR2516802,PRJEB26001,,,ERS2401479,ERX2536017,S,,S,,,,,R,S,S,,S,,R,
ERR2516847,PRJEB26001,,,ERS2401524,ERX2536062,S,,S,,,,,R,S,S,,S,,R,
ERR2516913,PRJEB26001,,,ERS2401590,ERX2536128,S,,S,,,,S,R,S,S,,S,,R,
ERR2516850,PRJEB26001,,,ERS2401527,ERX2536065,S,,S,,,,,R,S,S,,S,,R,
ERR2517057,PRJEB26001,,,ERS2401734,ERX2536272,S,,S,,,,,R,S,S,,S,,R,
ERR2516942,PRJEB26001,,,ERS2401619,ERX2536157,S,,S,,,,,R,S,S,,S,,R,
ERR2516823,PRJEB26001,,,ERS2401500,ERX2536038,S,,S,,,,S,R,S,S,,S,,R,
ERR2516796,PRJEB26001,,,ERS2401473,ERX2536011,,,,,,,S,S,,,,,,S,
ERR2516814,PRJEB26001,,,ERS2401491,ERX2536029,S,,S,,,,S,R,S,S,,S,,R,
ERR2516782,PRJEB26001,,,ERS2401459,ERX2535997,S,,S,,,,S,R,S,S,,S,,R,
ERR2516928,PRJEB26001,,,ERS2401605,ERX2536143,S,,S,,,,S,R,S,S,,S,,R,
ERR2517004,PRJEB26001,,,ERS2401681,ERX2536219,R,,S,,,,R,R,R,R,,R,,R,
ERR2516930,PRJEB26001,,,ERS2401607,ERX2536145,,,,,,,S,S,,,,,,S,
ERR2516909,PRJEB26001,,,ERS2401586,ERX2536124,S,,S,,,,S,R,S,S,,S,,R,
ERR2516817,PRJEB26001,,,ERS2401494,ERX2536032,S,,S,,,,S,R,S,S,,S,,R,
ERR2516915,PRJEB26001,,,ERS2401592,ERX2536130,S,,S,,,,,R,S,S,,S,,R,
ERR2517109,PRJEB26001,,,ERS2401786,ERX2536324,,,,,,,S,S,,,,,,S,
ERR2516827,PRJEB26001,,,ERS2401504,ERX2536042,S,,S,,,,S,R,S,S,,S,,R,
ERR2517085,PRJEB26001,,,ERS2401762,ERX2536300,S,,S,,,,S,R,S,S,,S,,R,
ERR2516839,PRJEB26001,,,ERS2401516,ERX2536054,S,,S,,,,,R,S,R,,R,,R,
ERR2516764,PRJEB26001,,,ERS2401441,ERX2535979,S,,S,,,,,R,S,R,,R,,R,
ERR2516871,PRJEB26001,,,ERS2401548,ERX2536086,S,,S,,,,,R,S,R,,R,,R,
ERR2516880,PRJEB26001,,,ERS2401557,ERX2536095,S,,S,,,,,R,S,S,,S,,R,
ERR2516905,PRJEB26001,,,ERS2401582,ERX2536120,S,,S,,,,,R,S,R,,R,,R,
ERR2517042,PRJEB26001,,,ERS2401719,ERX2536257,S,,S,,,,S,R,S,S,,S,,R,
ERR2517123,PRJEB26001,,,ERS2401800,ERX2536338,S,,S,,,,S,R,S,S,,S,,R,
ERR2516852,PRJEB26001,,,ERS2401529,ERX2536067,R,,R,,,,,R,R,R,,R,,R,
ERR2516886,PRJEB26001,,,ERS2401563,ERX2536101,S,,S,,,,R,R,S,R,,R,,R,
ERR2516911,PRJEB26001,,,ERS2401588,ERX2536126,S,,S,,,,R,R,S,R,,R,,R,
ERR2516811,PRJEB26001,,,ERS2401488,ERX2536026,S,,S,,,,R,R,S,S,,S,,R,
ERR2517090,PRJEB26001,,,ERS2401767,ERX2536305,S,,S,,,,R,R,S,S,,S,,R,
ERR2516981,PRJEB26001,,,ERS2401658,ERX2536196,,,S,,,,R,R,R,R,,R,,R,
ERR2516988,PRJEB26001,,,ERS2401665,ERX2536203,S,,R,,,,S,R,S,S,,S,,R,
ERR2516742,PRJEB26001,,,ERS2401419,ERX2535957,R,,R,,,,R,R,R,S,,S,,R,
ERR2516950,PRJEB26001,,,ERS2401627,ERX2536165,R,,S,,,,R,R,R,R,,R,,R,
ERR2517121,PRJEB26001,,,ERS2401798,ERX2536336,S,,S,,,,S,R,S,S,,S,,R,
ERR2517054,PRJEB26001,,,ERS2401731,ERX2536269,S,,S,,,,S,,S,S,,S,,R,
ERR2516979,PRJEB26001,,,ERS2401656,ERX2536194,S,,S,,,,,R,S,S,,S,,R,
ERR2516778,PRJEB26001,,,ERS2401455,ERX2535993,R,,R,,,,,R,R,S,,S,,R,
ERR2517041,PRJEB26001,,,ERS2401718,ERX2536256,S,,S,,,,,R,S,S,,S,,R,
ERR2516894,PRJEB26001,,,ERS2401571,ERX2536109,S,,S,,,,,R,S,S,,S,,R,
ERR2516910,PRJEB26001,,,ERS2401587,ERX2536125,S,,S,,,,R,R,R,S,,S,,R,
ERR2516898,PRJEB26001,,,ERS2401575,ERX2536113,S,,S,,,,R,R,S,R,,R,,R,
ERR2517114,PRJEB26001,,,ERS2401791,ERX2536329,S,,S,,,,,R,S,S,,S,,R,
ERR2517125,PRJEB26001,,,ERS2401802,ERX2536340,S,,S,,,,,R,S,S,,S,,R,
ERR2516926,PRJEB26001,,,ERS2401603,ERX2536141,S,,S,,,,R,R,R,R,,R,,R,
ERR2517016,PRJEB26001,,,ERS2401693,ERX2536231,S,,S,,,,R,R,R,R,,R,,R,
ERR2516830,PRJEB26001,,,ERS2401507,ERX2536045,,,,,,,S,S,,,,,,S,
ERR2517058,PRJEB26001,,,ERS2401735,ERX2536273,,,,,,,S,S,,,,,,S,
ERR2516873,PRJEB26001,,,ERS2401550,ERX2536088,,,,,,,S,S,,,,,,S,
ERR2516869,PRJEB26001,,,ERS2401546,ERX2536084,,,,,,,S,S,,,,,,S,
ERR2516776,PRJEB26001,,,ERS2401453,ERX2535991,S,,S,,,,S,R,S,S,,S,,S,
ERR2516919,PRJEB26001,,,ERS2401596,ERX2536134,S,,S,,,,S,R,S,S,,S,,S,
ERR2517048,PRJEB26001,,,ERS2401725,ERX2536263,S,,S,,,,S,,S,S,,S,,S,
ERR2516855,PRJEB26001,,,ERS2401532,ERX2536070,S,,S,,,,S,R,S,R,,R,,R,
ERR2517034,PRJEB26001,,,ERS2401711,ERX2536249,S,,S,,,,S,R,S,R,,R,,R,
ERR2516815,PRJEB26001,,,ERS2401492,ERX2536030,S,,S,,,,,R,S,S,,S,,R,
ERR2516933,PRJEB26001,,,ERS2401610,ERX2536148,S,,S,,,,S,R,S,S,,S,,R,
ERR2516946,PRJEB26001,,,ERS2401623,ERX2536161,,,,,,,,R,,,,,,R,
ERR2517082,PRJEB26001,,,ERS2401759,ERX2536297,S,,S,,,,R,R,S,S,,S,,R,
ERR2516992,PRJEB26001,,,ERS2401669,ERX2536207,,,,,,,S,S,,,,,,S,
ERR2516934,PRJEB26001,,,ERS2401611,ERX2536149,S,,S,,,,S,R,S,S,,S,,R,
ERR2516784,PRJEB26001,,,ERS2401461,ERX2535999,S,,S,,,,R,R,S,S,,S,,R,
ERR2516801,PRJEB26001,,,ERS2401478,ERX2536016,S,,S,,,,R,R,S,S,,S,,R,
ERR2516846,PRJEB26001,,,ERS2401523,ERX2536061,R,,R,,,,R,R,R,R,,R,,R,
ERR2516959,PRJEB26001,,,ERS2401636,ERX2536174,S,,S,,,,R,R,S,R,,R,,R,
ERR2517075,PRJEB26001,,,ERS2401752,ERX2536290,S,,R,,,,,R,S,S,,S,,R,
ERR2516920,PRJEB26001,,,ERS2401597,ERX2536135,,,,,,,R,R,,,,,,R,
